site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Tak,137.423111,36.146167,2001,1,1,-3.36,-8.47,-7.98,6.34,6.01,0.99
JP-Tak,137.423111,36.146167,2001,1,2,-1.27,-7.46,-4.72,6.35,2.33,4.76
JP-Tak,137.423111,36.146167,2001,1,3,-4.89,-8.55,-8.06,8.98,5.46,3.71
JP-Tak,137.423111,36.146167,2001,1,4,-6.07,-9.96,-9.2,7.62,3.27,6.36
JP-Tak,137.423111,36.146167,2001,1,5,-4.89,-10.56,-8.91,5.62,4.17,5.76
JP-Tak,137.423111,36.146167,2001,1,6,-7.69,-13.83,-11.17,5.55,6,1.12
JP-Tak,137.423111,36.146167,2001,1,7,-2.19,-13.46,-7.19,2.44,3.93,10.61
JP-Tak,137.423111,36.146167,2001,1,8,-1.18,-7.7,-4.67,4.17,3.32,14.27
JP-Tak,137.423111,36.146167,2001,1,9,1.31,-8.51,-3.77,3.81,6.15,8.3
JP-Tak,137.423111,36.146167,2001,1,10,2.85,-7.88,-2.49,4.5,3.47,14.67
JP-Tak,137.423111,36.146167,2001,1,11,-0.77,-11.56,-6.68,4,6.74,1.76
JP-Tak,137.423111,36.146167,2001,1,12,-4.96,-7.38,-7.57,6.19,4.56,4.2
JP-Tak,137.423111,36.146167,2001,1,13,-4.83,-8.78,-7.99,2.34,4.81,5.31
JP-Tak,137.423111,36.146167,2001,1,14,-8.66,-15,-11.64,3.55,4.98,6.25
JP-Tak,137.423111,36.146167,2001,1,15,-8.62,-14.93,-12.39,3.26,5.49,6.36
JP-Tak,137.423111,36.146167,2001,1,16,-7.67,-15.8,-13.12,2.15,6.14,3.25
JP-Tak,137.423111,36.146167,2001,1,17,-7.66,-15,-11.87,3.58,6.03,2.49
JP-Tak,137.423111,36.146167,2001,1,18,-3.31,-14.75,-8.8,4.81,2.62,4.49
JP-Tak,137.423111,36.146167,2001,1,19,-6.71,-13.52,-11.73,4,6.61,0.04
