site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Tdf,137.185778,35.035889,2001,1,1,5.76,0.28,-0.24,7.96,10.29,0.15
JP-Tdf,137.185778,35.035889,2001,1,2,9.69,0.37,2.55,5.79,3.37,0.92
JP-Tdf,137.185778,35.035889,2001,1,3,4.63,1.05,-1.02,9.67,5.02,0.97
JP-Tdf,137.185778,35.035889,2001,1,4,4.16,0.68,-0.9,9.03,4.2,1.59
JP-Tdf,137.185778,35.035889,2001,1,5,5.75,-0.09,0.25,7.12,7.86,1.92
JP-Tdf,137.185778,35.035889,2001,1,6,4.54,-1.4,-2.03,7.24,10.17,0.33
JP-Tdf,137.185778,35.035889,2001,1,7,6.53,-1.69,1.28,4.55,3.91,18.99
JP-Tdf,137.185778,35.035889,2001,1,8,9.52,2.43,4.37,7.43,8.13,14.23
JP-Tdf,137.185778,35.035889,2001,1,9,13.45,2.3,5.64,6.9,4.71,15.7
JP-Tdf,137.185778,35.035889,2001,1,10,14.28,2.06,5.74,7.66,8.14,10.54
JP-Tdf,137.185778,35.035889,2001,1,11,9.56,0.87,1.78,5.26,9.68,0.35
JP-Tdf,137.185778,35.035889,2001,1,12,5.25,0.83,-0.47,7.85,5.35,0.77
JP-Tdf,137.185778,35.035889,2001,1,13,3.37,1,0.45,4.7,5.54,0.99
JP-Tdf,137.185778,35.035889,2001,1,14,2.39,-1.37,-1.94,7.6,9.17,2.1
JP-Tdf,137.185778,35.035889,2001,1,15,1.74,-2.5,-3.45,7.81,7.77,1.02
JP-Tdf,137.185778,35.035889,2001,1,16,2.16,-1.48,-1.9,5,8.33,1.63
JP-Tdf,137.185778,35.035889,2001,1,17,4.18,-2.32,-1.98,6.51,8.51,0.91
JP-Tdf,137.185778,35.035889,2001,1,18,5.73,-2.26,-0.37,5.68,6.43,0.9
JP-Tdf,137.185778,35.035889,2001,1,19,4,-1.59,-2.38,6.14,11.5,0.01
JP-Tdf,137.185778,35.035889,2001,1,20,3.72,-1.83,-0.9,3.81,6.51,16.52
JP-Tdf,137.185778,35.035889,2001,1,21,6.08,-0.64,1.03,6.29,11.43,0.11
JP-Tdf,137.185778,35.035889,2001,1,22,5.86,-1.57,-0.13,4.64,9.3,0.05
JP-Tdf,137.185778,35.035889,2001,1,23,7.02,-0.56,-0.09,5.73,11.43,0.15
JP-Tdf,137.185778,35.035889,2001,1,24,5.87,-2.45,-2.25,4.31,12.26,0
JP-Tdf,137.185778,35.035889,2001,1,25,7.34,2.62,3.34,2.53,3.73,25.17
JP-Tdf,137.185778,35.035889,2001,1,26,9.47,4.98,4.99,3.89,4.14,11.94
JP-Tdf,137.185778,35.035889,2001,1,27,5.14,2.56,2.82,7.21,2.09,30.51
JP-Tdf,137.185778,35.035889,2001,1,28,6.89,1.5,1.96,5.08,5.74,1.52
JP-Tdf,137.185778,35.035889,2001,1,29,5.28,-0.12,0.12,5.56,10.55,0.57
JP-Tdf,137.185778,35.035889,2001,1,30,6.17,-0.37,0.2,4.35,10.18,0.54
JP-Tdf,137.185778,35.035889,2001,1,31,8.11,-0.88,-0.2,2.3,11.83,0.3
JP-Tdf,137.185778,35.035889,2001,2,1,5.63,1.77,2.71,4.1,2.57,16.08
JP-Tdf,137.185778,35.035889,2001,2,2,4.92,-0.48,-1.21,6.69,11.19,0.3
