site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Toc,141.565898,42.709727,2001,1,1,2.94,-3,-3.25,9.45,5.4,1.9
JP-Toc,141.565898,42.709727,2001,1,2,-1.78,-4.9,-6.11,7.19,5.46,0.92
JP-Toc,141.565898,42.709727,2001,1,3,-3.62,-5.48,-7.11,8.66,4.92,1.55
JP-Toc,141.565898,42.709727,2001,1,4,0.97,-4.61,-3.9,6.78,4.29,0.77
JP-Toc,141.565898,42.709727,2001,1,5,-2.18,-7.01,-6.59,6.73,7.03,0.83
JP-Toc,141.565898,42.709727,2001,1,6,-2.02,-7.22,-7.44,5.33,6.73,0.88
JP-Toc,141.565898,42.709727,2001,1,7,-5.34,-8.7,-9.55,4,6.81,0.59
JP-Toc,141.565898,42.709727,2001,1,8,-5.67,-11.45,-10.82,5.58,6.63,0.16
JP-Toc,141.565898,42.709727,2001,1,9,0.9,-12.16,-8.89,5.25,6.46,0.68
JP-Toc,141.565898,42.709727,2001,1,10,3.9,-7.2,-2.14,10.48,5.77,14.49
JP-Toc,141.565898,42.709727,2001,1,11,0.83,-9.16,-7.59,8.29,2.96,3.07
JP-Toc,141.565898,42.709727,2001,1,12,-7.48,-10.27,-11.09,10.85,4.78,2.26
JP-Toc,141.565898,42.709727,2001,1,13,-6.01,-8.48,-10.3,7.02,6.63,0.78
JP-Toc,141.565898,42.709727,2001,1,14,-6.09,-10.37,-11.62,3.88,7.5,0.31
JP-Toc,141.565898,42.709727,2001,1,15,-4.85,-9.67,-10.4,2.89,7.16,1.26
JP-Toc,141.565898,42.709727,2001,1,16,-5.37,-8.24,-9.27,6.56,6.52,1.76
JP-Toc,141.565898,42.709727,2001,1,17,-4.99,-7.77,-9.44,5.42,6.84,1.49
JP-Toc,141.565898,42.709727,2001,1,18,-4.8,-9.06,-9.99,3.67,5.52,0.84
JP-Toc,141.565898,42.709727,2001,1,19,-3.82,-10.72,-9.02,5.64,8.79,0.17
JP-Toc,141.565898,42.709727,2001,1,20,-0.68,-5.89,-6.08,3.76,5.78,0.25
JP-Toc,141.565898,42.709727,2001,1,21,-1.67,-6.28,-6.33,4.88,5.15,1.82
JP-Toc,141.565898,42.709727,2001,1,22,-3.45,-9.94,-8.26,5.41,8.11,1.14
JP-Toc,141.565898,42.709727,2001,1,23,-3.11,-5.83,-7.17,5.77,6.58,1.39
JP-Toc,141.565898,42.709727,2001,1,24,-2.98,-6.5,-7.47,4.55,9.01,0.59
JP-Toc,141.565898,42.709727,2001,1,25,0.34,-4.93,-5.1,4.34,5.91,0.72
