site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Yms,135.840939,34.790278,2001,1,1,4.04,-1.67,-1.57,6.44,6.8,0.75
JP-Yms,135.840939,34.790278,2001,1,2,6.89,-1.6,1.08,5.83,4.23,1.98
JP-Yms,135.840939,34.790278,2001,1,3,2.2,-1.48,-3.44,8.38,9.35,1.69
JP-Yms,135.840939,34.790278,2001,1,4,1.47,-1.46,-3.13,7.85,7.87,4.02
JP-Yms,135.840939,34.790278,2001,1,5,3.28,-0.64,-1.29,6.05,6.08,3.63
JP-Yms,135.840939,34.790278,2001,1,6,2.3,-2.05,-2.32,5.9,5.79,1.49
JP-Yms,135.840939,34.790278,2001,1,7,4.48,-2.57,-1.04,4.18,1.7,16.07
JP-Yms,135.840939,34.790278,2001,1,8,7.09,0.95,3.2,6.03,6.23,7.85
JP-Yms,135.840939,34.790278,2001,1,9,11.72,-1.52,5.13,5.55,2.49,12.88
JP-Yms,135.840939,34.790278,2001,1,10,12.35,-0.42,4.18,6.05,6.52,7.67
JP-Yms,135.840939,34.790278,2001,1,11,7.63,-1.35,0.18,4.62,9.08,0.9
JP-Yms,135.840939,34.790278,2001,1,12,2.67,-2.08,-3.35,6.43,9.97,1.26
JP-Yms,135.840939,34.790278,2001,1,13,0.95,-1.4,-1.92,3.59,4.29,2.79
JP-Yms,135.840939,34.790278,2001,1,14,-0.44,-4.75,-3.95,6.69,7.54,7.74
JP-Yms,135.840939,34.790278,2001,1,15,-0.65,-6.38,-6.38,6.93,9.51,2.55
JP-Yms,135.840939,34.790278,2001,1,16,0.08,-3.89,-4.21,5.85,9.78,3.84
JP-Yms,135.840939,34.790278,2001,1,17,1.45,-4.21,-3.29,4.47,8.54,3.96
JP-Yms,135.840939,34.790278,2001,1,18,3.06,-4.04,-1.8,4.93,8.27,2.1
JP-Yms,135.840939,34.790278,2001,1,19,2.03,-2.51,-3.32,4.45,9.51,0.09
JP-Yms,135.840939,34.790278,2001,1,20,0.88,-4.09,-2.15,3.68,1.86,19.12
JP-Yms,135.840939,34.790278,2001,1,21,3.32,-0.1,0.03,4.27,10.23,0.73
JP-Yms,135.840939,34.790278,2001,1,22,3.64,-0.32,-0.25,3.03,8.21,0.25
JP-Yms,135.840939,34.790278,2001,1,23,4.7,-1.7,-0.61,4.16,10.23,2.19
JP-Yms,135.840939,34.790278,2001,1,24,3.73,-1.9,-2.8,3.88,9.26,0.04
JP-Yms,135.840939,34.790278,2001,1,25,2.71,-1.04,-0.13,3.76,2.39,24.29
JP-Yms,135.840939,34.790278,2001,1,26,4.74,1.39,1.79,5.87,3.14,7.61
JP-Yms,135.840939,34.790278,2001,1,27,2.33,0.19,0.94,6.03,2.58,27.77
JP-Yms,135.840939,34.790278,2001,1,28,3.93,-0.84,0.02,4.2,7.23,3.38
JP-Yms,135.840939,34.790278,2001,1,29,2.67,-3.39,-1.94,4.49,9.23,2.63
JP-Yms,135.840939,34.790278,2001,1,30,3.85,-3.41,-1.97,3.67,9.66,1.21
JP-Yms,135.840939,34.790278,2001,1,31,6.03,-1.06,-0.56,2.2,12.11,0.32
JP-Yms,135.840939,34.790278,2001,2,1,4.84,-0.24,0.7,4.35,3.88,18.35
JP-Yms,135.840939,34.790278,2001,2,2,3.03,-2.42,-2.41,5.53,9.89,1.37
JP-Yms,135.840939,34.790278,2001,2,3,4.34,-1.87,-1.51,4.38,10.19,1.81
JP-Yms,135.840939,34.790278,2001,2,4,4.01,-0.89,-1.32,2.31,9.29,0.08
JP-Yms,135.840939,34.790278,2001,2,5,9.92,-1.46,0.27,1.85,8.11,0.05
JP-Yms,135.840939,34.790278,2001,2,6,6.03,0.65,1.43,3.54,2.77,7.53
JP-Yms,135.840939,34.790278,2001,2,7,7.63,-0.45,1.92,2.16,3.46,3.11
JP-Yms,135.840939,34.790278,2001,2,8,4.35,-2.43,-0.5,5.98,9.61,3.5
JP-Yms,135.840939,34.790278,2001,2,9,4.92,-2.25,-2.15,3.38,11.78,1.41
JP-Yms,135.840939,34.790278,2001,2,10,4.56,-1.78,-1.52,4.12,11.09,0.85
JP-Yms,135.840939,34.790278,2001,2,11,4.95,-1.62,-1.62,4.69,14.48,0.99
JP-Yms,135.840939,34.790278,2001,2,12,2.11,-1.64,-2.59,3.75,9.51,0.08
JP-Yms,135.840939,34.790278,2001,2,13,3.75,-1.08,-1.4,2.81,7.37,0.13
JP-Yms,135.840939,34.790278,2001,2,14,2.64,-2.27,-1.67,5.8,12.62,5.13
JP-Yms,135.840939,34.790278,2001,2,15,3.2,-2.77,-3.3,3.88,11.18,1.38
JP-Yms,135.840939,34.790278,2001,2,16,2.61,-2.31,-1.6,6.8,7.34,3.32
JP-Yms,135.840939,34.790278,2001,2,17,5.13,-2.73,-2.15,2.81,15.08,0.01
JP-Yms,135.840939,34.790278,2001,2,18,8.42,0.36,2.26,3.78,12.07,0.05
JP-Yms,135.840939,34.790278,2001,2,19,10.1,0.1,2.04,4.84,15.69,0.26
JP-Yms,135.840939,34.790278,2001,2,20,6.84,-2.05,-2.14,4.03,17.67,0.02
JP-Yms,135.840939,34.790278,2001,2,21,12.4,-1.19,3.35,3.68,7.2,3.66
JP-Yms,135.840939,34.790278,2001,2,22,13.88,2.96,4.47,2.54,15.89,0.08
JP-Yms,135.840939,34.790278,2001,2,23,15.59,4.55,6.81,2.44,13.56,8.06
