site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Ha1,-72.1715,42.5378,2001,1,1,-3.38,-13.28,-9.62,3.15,8.55,0.06
US-Ha1,-72.1715,42.5378,2001,1,2,-4.8,-15.5,-12.84,2.7,8.61,0.08
US-Ha1,-72.1715,42.5378,2001,1,3,-1.3,-15.08,-9.72,2.01,6.41,0.06
US-Ha1,-72.1715,42.5378,2001,1,4,-2.42,-11.6,-8.21,2.45,5.32,0.31
US-Ha1,-72.1715,42.5378,2001,1,5,-1.82,-11.85,-7.08,1.87,6.18,3.01
US-Ha1,-72.1715,42.5378,2001,1,6,0.34,-6.34,-4.02,2.47,6.86,2.33
US-Ha1,-72.1715,42.5378,2001,1,7,0,-10.58,-6.22,1.82,6.99,0.05
US-Ha1,-72.1715,42.5378,2001,1,8,0.05,-6.1,-3.23,1.02,4.63,2.52
US-Ha1,-72.1715,42.5378,2001,1,9,-2.42,-8.24,-5.94,2.45,4.71,1.42
US-Ha1,-72.1715,42.5378,2001,1,10,-7.08,-15.09,-12.76,3.22,9.14,0.05
US-Ha1,-72.1715,42.5378,2001,1,11,0.7,-14.83,-6.56,3.01,3.69,0.17
US-Ha1,-72.1715,42.5378,2001,1,12,-2.64,-12.88,-10.62,2.25,9.69,0
US-Ha1,-72.1715,42.5378,2001,1,13,0.36,-13.02,-9.04,1.72,8.74,0.02
US-Ha1,-72.1715,42.5378,2001,1,14,1.31,-8.17,-3.78,1.82,5.13,0.03
US-Ha1,-72.1715,42.5378,2001,1,15,0.11,-5.85,-2.51,2.09,2.68,4.74
US-Ha1,-72.1715,42.5378,2001,1,16,1.55,-6.7,-2.77,2.3,3.47,0.6
US-Ha1,-72.1715,42.5378,2001,1,17,1.17,-8.21,-4.41,2.53,5.32,0.13
US-Ha1,-72.1715,42.5378,2001,1,18,-0.32,-10.7,-7.85,1.48,5.28,0.66
US-Ha1,-72.1715,42.5378,2001,1,19,0.58,-5.79,-2.51,1.21,2.41,4.93
US-Ha1,-72.1715,42.5378,2001,1,20,-1.84,-7.93,-6.61,2.45,3.72,2.47
US-Ha1,-72.1715,42.5378,2001,1,21,-5.78,-10.48,-9.45,3.56,5.97,4.99
US-Ha1,-72.1715,42.5378,2001,1,22,-1.32,-13.01,-8.8,1.98,9.54,0.08
US-Ha1,-72.1715,42.5378,2001,1,23,0,-12.49,-7.81,2.34,9.28,0.12
US-Ha1,-72.1715,42.5378,2001,1,24,0.94,-9.78,-5.95,1.95,5.49,0.06
US-Ha1,-72.1715,42.5378,2001,1,25,0.84,-11.14,-6.84,2.46,8.39,0.06
US-Ha1,-72.1715,42.5378,2001,1,26,-0.42,-13.88,-9.77,2.04,10.63,0
US-Ha1,-72.1715,42.5378,2001,1,27,-0.66,-7.44,-5.65,1.96,4.81,0.91
