site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-MMS,-86.4131,39.3232,2001,1,1,-3.77,-10.61,-9.06,2.67,7.35,0.4
US-MMS,-86.4131,39.3232,2001,1,2,-6.01,-15.67,-12.24,2.9,9.49,0.04
US-MMS,-86.4131,39.3232,2001,1,3,-5.69,-12.83,-9.64,4.98,4.43,0.01
US-MMS,-86.4131,39.3232,2001,1,4,-1.01,-10.14,-5.61,3.64,2.77,0.01
US-MMS,-86.4131,39.3232,2001,1,5,0.65,-5.19,-2.23,6.07,9.07,0.01
US-MMS,-86.4131,39.3232,2001,1,6,1.05,-9.74,-4.79,4.36,10.02,0.01
US-MMS,-86.4131,39.3232,2001,1,7,1.61,-6.36,-3.18,3.04,8.5,0
US-MMS,-86.4131,39.3232,2001,1,8,-2.49,-10.15,-7.96,3.65,8.91,0.02
US-MMS,-86.4131,39.3232,2001,1,9,-2.23,-12.43,-9.91,3.47,10.13,0
US-MMS,-86.4131,39.3232,2001,1,10,1.96,-11.56,-7.43,4.17,10.7,0
US-MMS,-86.4131,39.3232,2001,1,11,2.66,-8.33,-4.79,2.45,9.5,0.16
US-MMS,-86.4131,39.3232,2001,1,12,4.99,-5.04,-2.7,2.09,9.33,0.03
US-MMS,-86.4131,39.3232,2001,1,13,6.18,-4.69,-2.35,2.87,9.41,0
US-MMS,-86.4131,39.3232,2001,1,14,4.23,0.51,2.22,4.78,3.97,1.34
US-MMS,-86.4131,39.3232,2001,1,15,3.11,-1.51,-1.03,4.99,3.44,0.17
US-MMS,-86.4131,39.3232,2001,1,16,1.8,-2.94,-3,3.17,3.51,0
US-MMS,-86.4131,39.3232,2001,1,17,0.99,-3.59,-3.51,1.29,4.99,0
US-MMS,-86.4131,39.3232,2001,1,18,4.89,-3.56,-2.7,1.42,9,0.42
US-MMS,-86.4131,39.3232,2001,1,19,0.48,-4.06,-3.71,5.02,3.78,1.05
US-MMS,-86.4131,39.3232,2001,1,20,-4.34,-11.13,-9.52,4.07,7.06,0.77
US-MMS,-86.4131,39.3232,2001,1,21,1.05,-11.74,-8.86,3.42,10.32,0
US-MMS,-86.4131,39.3232,2001,1,22,4.02,-9.03,-5.52,3.16,10.31,0.21
US-MMS,-86.4131,39.3232,2001,1,23,3.41,-5.37,-2.7,3.35,6.32,0
US-MMS,-86.4131,39.3232,2001,1,24,2.38,-5.77,-5.07,5.11,11.68,0.04
