site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Moz,-92.2,38.7441,2001,1,1,-8.12,-13.9,-14.05,2.31,8.63,0
US-Moz,-92.2,38.7441,2001,1,2,-5.29,-15.76,-13.3,2.02,9.89,0
US-Moz,-92.2,38.7441,2001,1,3,1,-13.88,-7.62,3.64,5.94,0.04
US-Moz,-92.2,38.7441,2001,1,4,5.13,-6.88,-3.56,3.11,8.71,0.05
US-Moz,-92.2,38.7441,2001,1,5,6.17,-2.81,-2.46,4.56,10.95,0
US-Moz,-92.2,38.7441,2001,1,6,9.78,-2.86,-1.22,3.81,10.6,0.02
US-Moz,-92.2,38.7441,2001,1,7,5.63,-4.31,-1.78,3.74,10.14,0
US-Moz,-92.2,38.7441,2001,1,8,1.21,-5.54,-6.42,3.14,9.64,0.02
US-Moz,-92.2,38.7441,2001,1,9,3.03,-8.15,-7.3,1.67,10.88,0
US-Moz,-92.2,38.7441,2001,1,10,9.11,-6.9,-2.93,3.38,9.65,0
US-Moz,-92.2,38.7441,2001,1,11,1.43,-1.12,-0.9,2.05,3.71,2.22
US-Moz,-92.2,38.7441,2001,1,12,6.88,-1.07,-0.14,1.98,3.91,0.24
US-Moz,-92.2,38.7441,2001,1,13,7.02,-0.78,0.18,4.21,7.18,4.6
US-Moz,-92.2,38.7441,2001,1,14,6.68,-3.25,0.41,4.57,2.23,0.08
US-Moz,-92.2,38.7441,2001,1,15,4.7,-4.16,-4.3,3.91,9.06,0.01
US-Moz,-92.2,38.7441,2001,1,16,1.92,-4.51,-4.53,2.28,3.95,1.32
US-Moz,-92.2,38.7441,2001,1,17,2.1,-3.71,-5.3,1.81,6.23,0
US-Moz,-92.2,38.7441,2001,1,18,4.33,-6.04,-5.13,2.24,8.46,0
US-Moz,-92.2,38.7441,2001,1,19,-2.11,-7.79,-8.56,5.01,7.97,0.03
US-Moz,-92.2,38.7441,2001,1,20,-1.34,-10.36,-10.81,2.18,10.72,0.02
US-Moz,-92.2,38.7441,2001,1,21,4.51,-9.53,-6.64,3.14,10.08,0
US-Moz,-92.2,38.7441,2001,1,22,5.8,-7.93,-4.89,1.85,12.39,0.01
US-Moz,-92.2,38.7441,2001,1,23,4.8,-3.03,-1.53,2.58,7.68,0.01
US-Moz,-92.2,38.7441,2001,1,24,4.61,-7.29,-6.04,3.84,12.74,0
US-Moz,-92.2,38.7441,2001,1,25,2.8,-11.7,-9.54,2.69,12.94,0.11
US-Moz,-92.2,38.7441,2001,1,26,4.32,-3.6,-2.84,6.91,1.71,0.99
US-Moz,-92.2,38.7441,2001,1,27,0.91,-8.63,-8.56,2.31,12.57,0
US-Moz,-92.2,38.7441,2001,1,28,3.63,-3.21,-2.03,3.03,2.8,27.24
US-Moz,-92.2,38.7441,2001,1,29,7.02,-0.41,2.52,4.24,2.23,19.83
US-Moz,-92.2,38.7441,2001,1,30,3.8,-2.39,-1.38,5.4,4.63,0.86
US-Moz,-92.2,38.7441,2001,1,31,0.81,-3.77,-3.58,4.62,3.96,0.18
US-Moz,-92.2,38.7441,2001,2,1,4.48,-12.68,-5.79,4.34,10.5,0.02
US-Moz,-92.2,38.7441,2001,2,2,-6.06,-16.49,-15.7,3.49,13.97,0
US-Moz,-92.2,38.7441,2001,2,3,3.94,-7.92,-2.53,3.52,3.66,0.02
US-Moz,-92.2,38.7441,2001,2,4,4.44,-1.57,-1.17,4.84,4.99,0.09
US-Moz,-92.2,38.7441,2001,2,5,9.79,-3.58,-2.26,3.81,12.41,0
