site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Oho,-83.8438,41.5545,2001,1,1,-5.8,-17.7,-13.2,2.63,4.27,0.21
US-Oho,-83.8438,41.5545,2001,1,2,-4.68,-19.87,-13.18,3.9,3.85,0.04
US-Oho,-83.8438,41.5545,2001,1,3,-7.6,-16.52,-11.46,7.35,3.6,0.19
US-Oho,-83.8438,41.5545,2001,1,4,-2.71,-10.98,-7.24,4.81,2.44,0.37
US-Oho,-83.8438,41.5545,2001,1,5,0.65,-6.16,-1.85,7.48,7.33,0.5
US-Oho,-83.8438,41.5545,2001,1,6,-1.34,-11.06,-7.12,4.9,4.88,0.03
US-Oho,-83.8438,41.5545,2001,1,7,-0.74,-8.5,-5.25,3.92,2.81,0.04
US-Oho,-83.8438,41.5545,2001,1,8,-6.27,-15.29,-11.32,4.01,7.16,0.02
US-Oho,-83.8438,41.5545,2001,1,9,-6.57,-21.84,-14.33,5.93,9.29,0.21
US-Oho,-83.8438,41.5545,2001,1,10,-0.6,-13.39,-8.22,7.29,9.49,0.01
US-Oho,-83.8438,41.5545,2001,1,11,0.44,-9.52,-5.87,3.98,8.44,0
US-Oho,-83.8438,41.5545,2001,1,12,0.1,-7.63,-5.01,1.42,6.26,0.02
US-Oho,-83.8438,41.5545,2001,1,13,0.62,-9.11,-6.24,2.38,4.31,0.11
US-Oho,-83.8438,41.5545,2001,1,14,2.45,-3.17,-0.03,3.89,3.12,0.87
US-Oho,-83.8438,41.5545,2001,1,15,2.22,-1.05,-0.3,6.79,3.93,0.36
US-Oho,-83.8438,41.5545,2001,1,16,1.83,-3.58,-2.79,5.73,3.56,0.06
US-Oho,-83.8438,41.5545,2001,1,17,0.8,-5.97,-4.69,3.56,4.71,0.02
US-Oho,-83.8438,41.5545,2001,1,18,1.77,-7.45,-4.52,2.88,4.54,0.06
US-Oho,-83.8438,41.5545,2001,1,19,-1.21,-10.66,-6.52,5.19,4.6,0.23
US-Oho,-83.8438,41.5545,2001,1,20,-5.73,-13.13,-11.94,4.96,7.6,0.12
US-Oho,-83.8438,41.5545,2001,1,21,-2.52,-13.68,-10.84,4.84,10.35,0
US-Oho,-83.8438,41.5545,2001,1,22,2.16,-10.3,-6.42,3.76,7.73,0
US-Oho,-83.8438,41.5545,2001,1,23,2.15,-6.11,-3.72,5.08,8.14,0.01
US-Oho,-83.8438,41.5545,2001,1,24,-1.06,-7.25,-5.76,4.98,4.51,0.3
US-Oho,-83.8438,41.5545,2001,1,25,-1.34,-11.29,-8.72,4.11,7.27,0
US-Oho,-83.8438,41.5545,2001,1,26,-0.47,-8.66,-6.17,6.07,6.05,2.23
US-Oho,-83.8438,41.5545,2001,1,27,-1.78,-9.58,-6.54,7.18,7.68,0.23
US-Oho,-83.8438,41.5545,2001,1,28,-1.82,-12.22,-8.41,4.39,5.49,0.45
US-Oho,-83.8438,41.5545,2001,1,29,6.03,-4.74,-1.67,4.87,3.3,8.1
US-Oho,-83.8438,41.5545,2001,1,30,5.73,0.07,2.39,5.22,5.12,3.58
US-Oho,-83.8438,41.5545,2001,1,31,5.17,-1.06,-1.53,6.92,8.17,0.28
