site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Pfa,-90.2723,45.9459,2001,1,1,-7.91,-17.75,-14.05,2.67,7.53,0.03
US-Pfa,-90.2723,45.9459,2001,1,2,-10.56,-18.49,-15.18,6.19,6.99,0.31
US-Pfa,-90.2723,45.9459,2001,1,3,-9.49,-15.07,-12.84,4.31,5.09,0.3
US-Pfa,-90.2723,45.9459,2001,1,4,-0.69,-15.31,-8.87,6.39,5.08,0.71
US-Pfa,-90.2723,45.9459,2001,1,5,-1.25,-10.42,-6.19,6.58,6.6,0.23
US-Pfa,-90.2723,45.9459,2001,1,6,-4.49,-10.89,-8.85,4.48,4.17,2.03
US-Pfa,-90.2723,45.9459,2001,1,7,-6.11,-11.52,-9.14,4.06,7.09,0.49
US-Pfa,-90.2723,45.9459,2001,1,8,-7.21,-15.6,-11.54,2.3,6.71,0.49
US-Pfa,-90.2723,45.9459,2001,1,9,-6.27,-14.32,-11.3,5.45,7.78,0.03
US-Pfa,-90.2723,45.9459,2001,1,10,-0.82,-9.21,-6.32,4.79,7.74,0.01
US-Pfa,-90.2723,45.9459,2001,1,11,0.14,-6.79,-2.87,2.3,5.99,0.47
US-Pfa,-90.2723,45.9459,2001,1,12,0.16,-3.08,-0.81,2.75,3.66,0.37
US-Pfa,-90.2723,45.9459,2001,1,13,-0.5,-6.04,-4.09,2.32,1.58,0.17
US-Pfa,-90.2723,45.9459,2001,1,14,-0.05,-2.78,-1.78,4.9,2.1,7.78
US-Pfa,-90.2723,45.9459,2001,1,15,-0.79,-6.32,-4.19,3.09,5.08,2.01
US-Pfa,-90.2723,45.9459,2001,1,16,-6.28,-12.51,-9.68,2.82,5.49,0.38
US-Pfa,-90.2723,45.9459,2001,1,17,-11.09,-15.12,-13.7,4.94,7.38,0.22
US-Pfa,-90.2723,45.9459,2001,1,18,-3.92,-12.04,-9.56,4.59,6.47,1.11
US-Pfa,-90.2723,45.9459,2001,1,19,-10.54,-21.6,-15.51,3.4,7.65,0.05
US-Pfa,-90.2723,45.9459,2001,1,20,-11.92,-23.5,-19.51,4.15,9.04,0.07
US-Pfa,-90.2723,45.9459,2001,1,21,-5.08,-19.35,-12.89,3.01,7.54,0.12
US-Pfa,-90.2723,45.9459,2001,1,22,-5.94,-16.87,-11.43,5.98,7.85,0.68
US-Pfa,-90.2723,45.9459,2001,1,23,-3.47,-10.25,-8,4.3,7.79,0.41
US-Pfa,-90.2723,45.9459,2001,1,24,-7.36,-18.2,-11.59,4.62,7.63,0.73
US-Pfa,-90.2723,45.9459,2001,1,25,-8.21,-22.07,-16.12,5.64,9.54,0.02
US-Pfa,-90.2723,45.9459,2001,1,26,-5.92,-12.81,-10.91,5.62,6.65,4.31
US-Pfa,-90.2723,45.9459,2001,1,27,-9.51,-21.35,-14.27,4.75,9.13,0.04
US-Pfa,-90.2723,45.9459,2001,1,28,-5.38,-14.83,-11.69,3.26,8.53,0.31
US-Pfa,-90.2723,45.9459,2001,1,29,-2.2,-13.42,-7.74,4.16,7.43,4.21
US-Pfa,-90.2723,45.9459,2001,1,30,0.07,-2.89,-1.46,3.57,5.81,7.91
US-Pfa,-90.2723,45.9459,2001,1,31,-3.43,-10.25,-6.26,3.95,7.77,0.88
US-Pfa,-90.2723,45.9459,2001,2,1,-12.51,-18.91,-16.72,5.12,9.19,1.01
US-Pfa,-90.2723,45.9459,2001,2,2,-12.15,-19.01,-16.69,3.38,10.31,0.22
US-Pfa,-90.2723,45.9459,2001,2,3,-10.38,-19.62,-15.01,4.36,7.28,0.92
US-Pfa,-90.2723,45.9459,2001,2,4,-2.85,-12.85,-9.26,2.94,5.73,0.42
US-Pfa,-90.2723,45.9459,2001,2,5,-5.73,-12.85,-10,2.54,6.37,0.39
US-Pfa,-90.2723,45.9459,2001,2,6,-2.95,-13.37,-8.39,3.9,7.78,0.73
US-Pfa,-90.2723,45.9459,2001,2,7,-7.76,-16.9,-12.58,2.25,6.92,3.98
US-Pfa,-90.2723,45.9459,2001,2,8,-2.93,-9.53,-7.28,4.29,3.39,6.18
US-Pfa,-90.2723,45.9459,2001,2,9,-5.23,-14.7,-9.9,7.34,10.47,4.22
US-Pfa,-90.2723,45.9459,2001,2,10,-14.61,-24.28,-19.08,4.07,11.88,0.26
US-Pfa,-90.2723,45.9459,2001,2,11,-12.07,-25.46,-18.49,3.21,10.08,0.33
US-Pfa,-90.2723,45.9459,2001,2,12,-4.99,-12.38,-10.33,3.36,6.52,1.89
US-Pfa,-90.2723,45.9459,2001,2,13,-4.02,-12.37,-8.49,3.7,5.71,0.36
US-Pfa,-90.2723,45.9459,2001,2,14,-6.6,-18.54,-12.39,4.52,10.67,0.12
US-Pfa,-90.2723,45.9459,2001,2,15,-7.44,-22.49,-16.11,3.15,13.08,0.17
US-Pfa,-90.2723,45.9459,2001,2,16,-13.33,-18.27,-16.29,6.66,13.54,0.22
US-Pfa,-90.2723,45.9459,2001,2,17,-14.45,-22.36,-19.37,5.01,13.86,0.04
US-Pfa,-90.2723,45.9459,2001,2,18,-7.85,-23.48,-16.28,6.2,10.38,0.11
US-Pfa,-90.2723,45.9459,2001,2,19,-4.25,-19.11,-9.82,4.77,9.26,0.34
US-Pfa,-90.2723,45.9459,2001,2,20,-12.72,-22.48,-18.28,6.38,14.72,0.24
US-Pfa,-90.2723,45.9459,2001,2,21,-15.58,-26.93,-22.89,3.08,14.52,0.03
US-Pfa,-90.2723,45.9459,2001,2,22,-8.28,-24.05,-14.9,6.45,8.78,1.76
US-Pfa,-90.2723,45.9459,2001,2,23,-9.07,-18.83,-15.53,2.96,14.55,0.46
US-Pfa,-90.2723,45.9459,2001,2,24,-1.74,-12.64,-6.63,6.91,2.57,6.42
US-Pfa,-90.2723,45.9459,2001,2,25,0.48,-10.13,-4.54,7.15,5,7.26
US-Pfa,-90.2723,45.9459,2001,2,26,-7.24,-21.93,-13.55,4.19,13.62,0.29
US-Pfa,-90.2723,45.9459,2001,2,27,-13.71,-25.65,-20.96,4.11,16.67,0.02
US-Pfa,-90.2723,45.9459,2001,2,28,-10.98,-25.5,-17.91,4.69,12.42,0.08
US-Pfa,-90.2723,45.9459,2001,3,1,-0.5,-12.38,-6.98,3.77,11.45,0.17
US-Pfa,-90.2723,45.9459,2001,3,2,0.06,-6.09,-3.75,4.58,14.43,0.07
US-Pfa,-90.2723,45.9459,2001,3,3,-1.12,-10.15,-6.51,4.31,16.33,0.24
US-Pfa,-90.2723,45.9459,2001,3,4,-6.37,-15.43,-11.79,4.86,15.46,0.36
US-Pfa,-90.2723,45.9459,2001,3,5,-8.46,-15.12,-11.82,6.66,17.24,0.12
US-Pfa,-90.2723,45.9459,2001,3,6,-2.87,-10.95,-8.03,4.59,17.35,0.13
US-Pfa,-90.2723,45.9459,2001,3,7,-2.65,-9.53,-6.65,4.57,8.77,1.01
US-Pfa,-90.2723,45.9459,2001,3,8,-3.72,-9.28,-7.29,4.88,9.78,1.37
US-Pfa,-90.2723,45.9459,2001,3,9,-1.64,-11.79,-8.56,3.02,17.5,0.06
US-Pfa,-90.2723,45.9459,2001,3,10,-2.7,-9.41,-7.12,4.93,5.08,1.4
US-Pfa,-90.2723,45.9459,2001,3,11,-5.72,-17.76,-12.59,3.23,18.42,0.02
US-Pfa,-90.2723,45.9459,2001,3,12,-0.9,-11.97,-6.44,5,3.29,10.21
US-Pfa,-90.2723,45.9459,2001,3,13,-1.19,-6.81,-4.71,5.84,14.31,0.88
US-Pfa,-90.2723,45.9459,2001,3,14,0.2,-7.99,-4.77,3.1,16.28,0.07
US-Pfa,-90.2723,45.9459,2001,3,15,-0.27,-8.44,-4.96,3.72,14.68,0.09
US-Pfa,-90.2723,45.9459,2001,3,16,-1.55,-8.66,-6.46,3.17,14.37,0
US-Pfa,-90.2723,45.9459,2001,3,17,-0.15,-12.47,-6.75,2.1,19.79,0
US-Pfa,-90.2723,45.9459,2001,3,18,-0.02,-10.45,-6.59,3.1,19.69,0.14
US-Pfa,-90.2723,45.9459,2001,3,19,0.26,-7.17,-4.76,3.73,11.4,0
US-Pfa,-90.2723,45.9459,2001,3,20,1.21,-7.65,-3.08,3.91,17.77,1.9
US-Pfa,-90.2723,45.9459,2001,3,21,1.89,-5.57,-3.67,1.47,20.02,0.26
US-Pfa,-90.2723,45.9459,2001,3,22,0.54,-7.99,-4.67,3.43,6.86,0.24
US-Pfa,-90.2723,45.9459,2001,3,23,-2.36,-14.48,-7.5,4.1,15.36,0.63
US-Pfa,-90.2723,45.9459,2001,3,24,-10.51,-16.96,-14.4,4.95,17.91,0.57
US-Pfa,-90.2723,45.9459,2001,3,25,-10.53,-16.72,-14.49,5.35,15.68,1.09
US-Pfa,-90.2723,45.9459,2001,3,26,-5.03,-10.6,-9.23,4.2,19.14,0.48
US-Pfa,-90.2723,45.9459,2001,3,27,0.73,-10.86,-6.97,2.39,20.76,0.02
US-Pfa,-90.2723,45.9459,2001,3,28,3.74,-9.66,-5.24,3.17,13.16,0.17
US-Pfa,-90.2723,45.9459,2001,3,29,4.99,-2.65,-1.33,3.31,5.76,0.21
US-Pfa,-90.2723,45.9459,2001,3,30,6.04,-1.93,-1.11,3.46,4.78,0.43
US-Pfa,-90.2723,45.9459,2001,3,31,6.4,-2.05,-0.97,4.27,4.54,3.03
US-Pfa,-90.2723,45.9459,2001,4,1,7.12,-3.44,-4.44,3.2,17.8,0.48
US-Pfa,-90.2723,45.9459,2001,4,2,3.13,-3.85,-3.94,2.7,11.37,3.07
US-Pfa,-90.2723,45.9459,2001,4,3,10.06,-3.64,-2.7,2.53,19.3,0.24
US-Pfa,-90.2723,45.9459,2001,4,4,12.46,-2.54,-1.68,3.28,20.04,0.14
US-Pfa,-90.2723,45.9459,2001,4,5,7.28,0.39,1.73,4.92,4.95,7.07
US-Pfa,-90.2723,45.9459,2001,4,6,11.08,1.4,2.16,3.55,12.52,3.43
US-Pfa,-90.2723,45.9459,2001,4,7,15.8,1.81,3.69,10.34,4.59,16.74
US-Pfa,-90.2723,45.9459,2001,4,8,10.41,0.3,0.61,5.52,15.28,0.31
US-Pfa,-90.2723,45.9459,2001,4,9,9.21,-1.35,0.02,3.34,8,1.52
US-Pfa,-90.2723,45.9459,2001,4,10,14.81,-1.11,2.35,3.23,12.36,0.31
US-Pfa,-90.2723,45.9459,2001,4,11,12.34,2.48,4.99,7.64,3.18,22.86
US-Pfa,-90.2723,45.9459,2001,4,12,9.17,1.44,3.83,6.52,6.84,5.9
US-Pfa,-90.2723,45.9459,2001,4,13,12.57,-1.54,-0.5,4.15,24.1,1.22
US-Pfa,-90.2723,45.9459,2001,4,14,13.17,1.82,1.04,5.14,23.58,0.38
US-Pfa,-90.2723,45.9459,2001,4,15,8.77,-4.72,0.77,6.36,9.67,9.68
US-Pfa,-90.2723,45.9459,2001,4,16,1.47,-6.2,-7.26,6.27,11.66,1.25
US-Pfa,-90.2723,45.9459,2001,4,17,5.37,-3.92,-6.5,5.41,26.47,0
US-Pfa,-90.2723,45.9459,2001,4,18,11.22,-3.02,-3.82,2.51,24.33,0.02
US-Pfa,-90.2723,45.9459,2001,4,19,15.34,-0.99,1.25,4.36,16.64,0.17
US-Pfa,-90.2723,45.9459,2001,4,20,13.17,4.52,7.99,5.06,6.64,4.65
US-Pfa,-90.2723,45.9459,2001,4,21,18.91,2.09,7.88,6.21,4.97,17.02
US-Pfa,-90.2723,45.9459,2001,4,22,12.26,-1.07,3.28,4.79,3.83,18.21
US-Pfa,-90.2723,45.9459,2001,4,23,18.85,0.37,8.09,8.15,9.28,17.57
US-Pfa,-90.2723,45.9459,2001,4,24,13.33,-2.05,0.1,4.04,21.99,0.14
US-Pfa,-90.2723,45.9459,2001,4,25,17.46,3.19,4.35,3.8,24.7,0.03
US-Pfa,-90.2723,45.9459,2001,4,26,19.16,3.15,4.45,5.38,25.57,0
US-Pfa,-90.2723,45.9459,2001,4,27,18.14,0.08,1.1,3.11,24.79,0
US-Pfa,-90.2723,45.9459,2001,4,28,18.25,2.7,1.93,6,22.3,0.03
US-Pfa,-90.2723,45.9459,2001,4,29,22.78,7.4,8.91,7.78,23.76,0.36
US-Pfa,-90.2723,45.9459,2001,4,30,22.52,11.67,12.95,7.05,11.07,9.31
US-Pfa,-90.2723,45.9459,2001,5,1,20.36,9.13,12.78,4.78,17.47,0.83
US-Pfa,-90.2723,45.9459,2001,5,2,17.43,9.22,9.47,3.87,9.38,6.13
US-Pfa,-90.2723,45.9459,2001,5,3,17.26,6.28,5.48,3.09,7.57,0.79
US-Pfa,-90.2723,45.9459,2001,5,4,15.08,3.01,2.75,3.56,18.73,0.6
US-Pfa,-90.2723,45.9459,2001,5,5,15.47,0.54,2.89,5.62,9.79,1.17
US-Pfa,-90.2723,45.9459,2001,5,6,16.06,5.44,6.24,7.64,12.77,3.61
US-Pfa,-90.2723,45.9459,2001,5,7,16.37,5.79,7.16,5.78,20.56,5.11
US-Pfa,-90.2723,45.9459,2001,5,8,15.19,3.91,3.81,5.98,26.7,1.56
US-Pfa,-90.2723,45.9459,2001,5,9,22.36,3.1,7.89,4.71,19.47,9.8
US-Pfa,-90.2723,45.9459,2001,5,10,20.94,7.26,12.6,5.09,13.72,2.89
US-Pfa,-90.2723,45.9459,2001,5,11,11.95,2.87,1.88,4.22,18.06,0.42
US-Pfa,-90.2723,45.9459,2001,5,12,16.62,1.32,1.89,2.33,26.7,0.21
US-Pfa,-90.2723,45.9459,2001,5,13,20.26,5.37,7.19,2.63,25.08,0.8
US-Pfa,-90.2723,45.9459,2001,5,14,17.67,10.11,11.24,6.25,8.72,1.88
US-Pfa,-90.2723,45.9459,2001,5,15,26.89,10.59,16.79,5.15,24.73,2.44
US-Pfa,-90.2723,45.9459,2001,5,16,23.46,12.88,11.75,3.43,21.63,0.41
US-Pfa,-90.2723,45.9459,2001,5,17,21.92,8.48,8.79,4.53,24.44,0.56
US-Pfa,-90.2723,45.9459,2001,5,18,22.81,5.63,5.61,1.64,27.63,0
US-Pfa,-90.2723,45.9459,2001,5,19,23.26,8.48,7.93,2.87,23,0.06
US-Pfa,-90.2723,45.9459,2001,5,20,21.97,10.11,9.46,5.01,11.07,3.05
US-Pfa,-90.2723,45.9459,2001,5,21,14.36,8.31,10.2,4.87,6.08,17.09
US-Pfa,-90.2723,45.9459,2001,5,22,11.08,3.58,4.59,5.31,12.27,3.56
US-Pfa,-90.2723,45.9459,2001,5,23,7.81,2.9,4.07,4.12,16.81,4.83
US-Pfa,-90.2723,45.9459,2001,5,24,13.05,5.72,7.65,5.1,9.42,9.9
US-Pfa,-90.2723,45.9459,2001,5,25,12.42,6.14,7.83,2.64,12.49,10.69
US-Pfa,-90.2723,45.9459,2001,5,26,11.52,6.36,7.78,1.8,14.53,7.22
US-Pfa,-90.2723,45.9459,2001,5,27,15.54,5.79,6.75,2.97,18.5,0.42
US-Pfa,-90.2723,45.9459,2001,5,28,19.43,4.86,8.47,3.3,26.45,0.36
US-Pfa,-90.2723,45.9459,2001,5,29,17.14,4.78,4.11,3.26,25.31,0.15
US-Pfa,-90.2723,45.9459,2001,5,30,19.95,3.39,2.7,1.97,28.68,0
US-Pfa,-90.2723,45.9459,2001,5,31,18.84,5.92,5.62,2.86,17.53,1.64
US-Pfa,-90.2723,45.9459,2001,6,1,12.3,5.79,6.72,2.06,12.91,4.42
US-Pfa,-90.2723,45.9459,2001,6,2,7.12,3.93,4.15,5.99,9.78,2.21
US-Pfa,-90.2723,45.9459,2001,6,3,13.77,3.98,4.28,4.53,20.08,0.2
US-Pfa,-90.2723,45.9459,2001,6,4,16.84,3.63,5.8,3.57,19.7,0.04
US-Pfa,-90.2723,45.9459,2001,6,5,18.16,5.45,7.92,3.4,9.12,0.1
US-Pfa,-90.2723,45.9459,2001,6,6,17.54,7.63,9.31,3.11,9.45,0.13
US-Pfa,-90.2723,45.9459,2001,6,7,20.05,9.21,9.65,1.39,11.82,0.43
US-Pfa,-90.2723,45.9459,2001,6,8,22.85,11.55,10.3,1.8,26.18,0.01
US-Pfa,-90.2723,45.9459,2001,6,9,23.99,12.49,12.5,3.19,27.65,2.8
US-Pfa,-90.2723,45.9459,2001,6,10,23.01,13.84,16.29,3.51,18.38,13.52
US-Pfa,-90.2723,45.9459,2001,6,11,26.13,13.08,16.98,3.58,21.27,4.86
US-Pfa,-90.2723,45.9459,2001,6,12,23.85,15.32,14.76,3.01,23.81,4.47
US-Pfa,-90.2723,45.9459,2001,6,13,24.81,15.42,18.83,5.8,13.44,8.44
US-Pfa,-90.2723,45.9459,2001,6,14,25.18,19.13,20.21,6.22,14.07,1.22
US-Pfa,-90.2723,45.9459,2001,6,15,20.8,11.75,13.54,5.27,16.48,1.68
US-Pfa,-90.2723,45.9459,2001,6,16,21,10.98,12.34,4.04,23.85,4.17
US-Pfa,-90.2723,45.9459,2001,6,17,20.72,9.61,12.25,2.34,19.35,8.77
US-Pfa,-90.2723,45.9459,2001,6,18,21.9,14.08,17.45,4.34,11.84,20.34
US-Pfa,-90.2723,45.9459,2001,6,19,19.51,9.62,10.1,5.46,30.76,2.79
US-Pfa,-90.2723,45.9459,2001,6,20,21.37,9.77,11.64,2.75,26.65,5.23
US-Pfa,-90.2723,45.9459,2001,6,21,17.17,6.96,10.28,3.5,18.95,1.56
US-Pfa,-90.2723,45.9459,2001,6,22,20.07,5.51,7.2,2.63,28.32,0.18
