site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Rpf,-147.429,65.1198,2001,1,1,-12.37,-17.67,-15.39,1.43,0.1,1.08
US-Rpf,-147.429,65.1198,2001,1,2,-17.29,-22.96,-21.12,5.7,0.1,0.4
US-Rpf,-147.429,65.1198,2001,1,3,-21,-23.56,-23.23,9.05,0.12,2.44
US-Rpf,-147.429,65.1198,2001,1,4,-20.06,-22.69,-21.79,6,0.13,2.37
US-Rpf,-147.429,65.1198,2001,1,5,-22.3,-24.29,-24.18,4.9,0.17,0.5
US-Rpf,-147.429,65.1198,2001,1,6,-12.56,-24.33,-18.74,5.72,0.13,0.87
US-Rpf,-147.429,65.1198,2001,1,7,-3.12,-12.78,-8.55,7.69,0.15,5.99
US-Rpf,-147.429,65.1198,2001,1,8,-3.49,-12.29,-9.97,4.12,0.2,0
US-Rpf,-147.429,65.1198,2001,1,9,-10.67,-20.5,-17.78,2.27,0.2,1.35
US-Rpf,-147.429,65.1198,2001,1,10,-20.94,-28,-23.81,1.86,0.25,1.22
US-Rpf,-147.429,65.1198,2001,1,11,-11.99,-31.13,-22.31,4.89,0.25,0.61
US-Rpf,-147.429,65.1198,2001,1,12,-10.45,-13.81,-13.31,5.53,0.22,0.12
US-Rpf,-147.429,65.1198,2001,1,13,-8.19,-13.5,-13.13,3.93,0.33,0.1
US-Rpf,-147.429,65.1198,2001,1,14,-0.89,-7.07,-5.61,8.3,0.25,6.29
US-Rpf,-147.429,65.1198,2001,1,15,0.91,-3.97,-2.59,6.32,0.29,1.84
US-Rpf,-147.429,65.1198,2001,1,16,-4.99,-15.3,-12.3,3.19,0.41,0.1
US-Rpf,-147.429,65.1198,2001,1,17,-7.06,-15.6,-11.7,6.12,0.35,0.02
US-Rpf,-147.429,65.1198,2001,1,18,-0.91,-7.6,-6.19,6.21,0.38,0.04
US-Rpf,-147.429,65.1198,2001,1,19,-2.63,-6.57,-6.08,4.71,0.38,0.03
US-Rpf,-147.429,65.1198,2001,1,20,-7.29,-12.54,-11.85,4.57,0.67,0.01
US-Rpf,-147.429,65.1198,2001,1,21,-7.89,-14.1,-12.09,5.61,0.62,0
US-Rpf,-147.429,65.1198,2001,1,22,-7.25,-13.25,-11.36,5.72,0.62,0.49
US-Rpf,-147.429,65.1198,2001,1,23,-7.34,-11.39,-10.57,2.57,0.56,0.62
US-Rpf,-147.429,65.1198,2001,1,24,-7.14,-12.09,-10.35,4.21,0.54,0.03
US-Rpf,-147.429,65.1198,2001,1,25,-7.2,-12.94,-10.32,3.37,0.6,0.17
US-Rpf,-147.429,65.1198,2001,1,26,-3.17,-7.87,-6.15,5.2,0.57,0.57
US-Rpf,-147.429,65.1198,2001,1,27,-3.58,-12.41,-9.63,2.92,0.69,2.99
US-Rpf,-147.429,65.1198,2001,1,28,-12.4,-15.84,-13.98,1.91,0.77,0.58
US-Rpf,-147.429,65.1198,2001,1,29,-16.16,-19.23,-18.36,4.56,1.13,0.02
US-Rpf,-147.429,65.1198,2001,1,30,-15.66,-18.74,-18.01,4.86,1.25,0.03
US-Rpf,-147.429,65.1198,2001,1,31,-10.15,-14.8,-13.46,5.42,1.14,0.74
US-Rpf,-147.429,65.1198,2001,2,1,-10,-16.36,-13.41,1.51,1.02,2.52
US-Rpf,-147.429,65.1198,2001,2,2,-16.32,-21.12,-19.1,2.11,1.85,0.24
US-Rpf,-147.429,65.1198,2001,2,3,-18.52,-22.48,-20.99,2.86,1.54,0.07
US-Rpf,-147.429,65.1198,2001,2,4,-13.51,-23.18,-19.62,3.44,1.95,0.04
US-Rpf,-147.429,65.1198,2001,2,5,-10.11,-13.8,-13.05,3.09,1.52,0.37
US-Rpf,-147.429,65.1198,2001,2,6,-7.99,-14.63,-12.04,3.34,1.5,0.03
US-Rpf,-147.429,65.1198,2001,2,7,-12.92,-19.6,-16.05,1.75,1.69,0.13
US-Rpf,-147.429,65.1198,2001,2,8,-13.67,-18.74,-16.96,4.49,2.22,0.04
US-Rpf,-147.429,65.1198,2001,2,9,-15.26,-18.64,-16.97,1.28,1.86,0.64
US-Rpf,-147.429,65.1198,2001,2,10,-12.69,-17.24,-15.61,4.45,2.39,0.38
US-Rpf,-147.429,65.1198,2001,2,11,-6.48,-12.32,-9.19,2.87,1.6,10.01
US-Rpf,-147.429,65.1198,2001,2,12,-7.34,-19.33,-12.87,1.92,1.87,4.2
US-Rpf,-147.429,65.1198,2001,2,13,-14.67,-19.57,-18.66,2.39,3.08,0.11
US-Rpf,-147.429,65.1198,2001,2,14,-11.37,-20.62,-17.55,4.35,3.03,0.01
US-Rpf,-147.429,65.1198,2001,2,15,-5.23,-16.4,-11.92,2.47,2.77,0.55
US-Rpf,-147.429,65.1198,2001,2,16,-4.84,-11.28,-9.58,4.29,3.32,0.01
US-Rpf,-147.429,65.1198,2001,2,17,-7.99,-13.25,-12.71,4.67,2.35,0
US-Rpf,-147.429,65.1198,2001,2,18,-6.17,-16.76,-13.66,4.82,3.43,0
