site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-SSH,-77.9041,40.6658,2001,1,1,-1.11,-8.52,-8.73,2.82,7,0.07
US-SSH,-77.9041,40.6658,2001,1,2,-4.38,-9.53,-10.39,3.48,8.55,0.04
US-SSH,-77.9041,40.6658,2001,1,3,-1.66,-10.3,-10.11,2.83,8.92,0.05
US-SSH,-77.9041,40.6658,2001,1,4,-2.18,-10.08,-8.4,2.72,5.64,0.12
US-SSH,-77.9041,40.6658,2001,1,5,0.22,-10.11,-5.27,2.59,2.76,3.24
US-SSH,-77.9041,40.6658,2001,1,6,-0.38,-6.95,-5.04,3.01,4.73,0.11
US-SSH,-77.9041,40.6658,2001,1,7,4.45,-7.98,-3.32,1.63,7.46,0
US-SSH,-77.9041,40.6658,2001,1,8,1.14,-6.98,-2.93,1.98,2.54,0.91
US-SSH,-77.9041,40.6658,2001,1,9,-5.1,-9.16,-11.06,4.82,8.66,0.02
US-SSH,-77.9041,40.6658,2001,1,10,1.09,-7.55,-6.89,4.98,9.5,0.04
US-SSH,-77.9041,40.6658,2001,1,11,4.77,-3.24,-3.61,3.6,8.42,0
US-SSH,-77.9041,40.6658,2001,1,12,5,-3.75,-4.62,1.14,9.81,0.01
US-SSH,-77.9041,40.6658,2001,1,13,6.97,-3.88,-4.41,1.51,9.67,0
US-SSH,-77.9041,40.6658,2001,1,14,6.92,-4.05,-2.17,1.49,4.46,0.09
US-SSH,-77.9041,40.6658,2001,1,15,8.53,-1.5,1.49,1.76,2.71,0.61
US-SSH,-77.9041,40.6658,2001,1,16,3.24,-1.93,-2.32,3.2,2.96,0.34
US-SSH,-77.9041,40.6658,2001,1,17,1.59,-3.67,-3.68,2.14,2.63,0.04
US-SSH,-77.9041,40.6658,2001,1,18,1.63,-4.97,-2.81,1.75,3.29,0.77
US-SSH,-77.9041,40.6658,2001,1,19,1.79,-1.92,-1.26,1.59,1.7,9.08
US-SSH,-77.9041,40.6658,2001,1,20,-0.11,-5.36,-4.19,2.08,2.15,6.99
US-SSH,-77.9041,40.6658,2001,1,21,-4.07,-13.86,-9.72,3.94,9.44,0.83
US-SSH,-77.9041,40.6658,2001,1,22,-1.19,-14.09,-9.34,2.08,10.22,0
US-SSH,-77.9041,40.6658,2001,1,23,2.14,-11.1,-6.12,1.88,11.1,0
US-SSH,-77.9041,40.6658,2001,1,24,2.54,-7.91,-4.77,2.27,10.06,0.04
US-SSH,-77.9041,40.6658,2001,1,25,-2.6,-10.68,-9.07,3.44,9.51,0.03
US-SSH,-77.9041,40.6658,2001,1,26,0.81,-12.16,-8.01,2.09,10.99,0.4
US-SSH,-77.9041,40.6658,2001,1,27,0.22,-4.89,-4.22,4.37,5.86,0.49
US-SSH,-77.9041,40.6658,2001,1,28,-0.88,-8.8,-8.43,3.18,11.79,0.05
US-SSH,-77.9041,40.6658,2001,1,29,4.16,-9.75,-5.54,1.8,7.97,0.11
US-SSH,-77.9041,40.6658,2001,1,30,6.63,-2.65,0.2,2.68,2.31,14.16
US-SSH,-77.9041,40.6658,2001,1,31,3.38,-3.03,-0.73,3.25,3.32,0.81
US-SSH,-77.9041,40.6658,2001,2,1,4.64,-3.5,-2.34,2.54,5.79,0.14
US-SSH,-77.9041,40.6658,2001,2,2,4.47,-6.26,-5.76,3.6,5.96,0.3
US-SSH,-77.9041,40.6658,2001,2,3,-1.98,-9.84,-11.11,2.78,10.99,0.02
US-SSH,-77.9041,40.6658,2001,2,4,2.11,-9.87,-6.53,2.04,8.49,0
