site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Slt,-74.596,39.9138,2001,1,1,-0.08,-8.72,-7,4.69,7.39,0.01
US-Slt,-74.596,39.9138,2001,1,2,-2.96,-10.09,-8.85,5.25,6.76,0.01
US-Slt,-74.596,39.9138,2001,1,3,-0.48,-10.83,-9.08,3.96,9.01,0
US-Slt,-74.596,39.9138,2001,1,4,0.69,-7.79,-6.7,4.22,8.72,0.38
US-Slt,-74.596,39.9138,2001,1,5,0.55,-7.76,-4.33,4.03,4.66,1.56
US-Slt,-74.596,39.9138,2001,1,6,2.88,-5.32,-3.51,4.52,6.96,0.01
US-Slt,-74.596,39.9138,2001,1,7,4.87,-5.36,-1.77,2.99,8.65,0.53
US-Slt,-74.596,39.9138,2001,1,8,4.23,0.44,1.74,3.17,1.66,8.02
US-Slt,-74.596,39.9138,2001,1,9,0.64,-5.14,-4.88,6.29,7.83,0.35
US-Slt,-74.596,39.9138,2001,1,10,1.51,-5.14,-5.34,5.69,7.39,0.02
US-Slt,-74.596,39.9138,2001,1,11,6.23,-2.33,-1.91,5.22,8.88,0
US-Slt,-74.596,39.9138,2001,1,12,5.06,-3.29,-3.02,3.13,7.74,0
US-Slt,-74.596,39.9138,2001,1,13,5.21,-3.11,-3.34,1.98,8.76,0.09
US-Slt,-74.596,39.9138,2001,1,14,5.5,-3.35,-0.64,2.28,5.18,1.84
US-Slt,-74.596,39.9138,2001,1,15,3.65,1.32,2.19,2.67,3.9,5.36
US-Slt,-74.596,39.9138,2001,1,16,6.87,-0.6,0.16,4.69,7.96,0.15
US-Slt,-74.596,39.9138,2001,1,17,6.17,-1.79,-1.28,4.1,8.36,0.09
US-Slt,-74.596,39.9138,2001,1,18,3.89,-1.93,0.29,2.84,2.39,1.66
US-Slt,-74.596,39.9138,2001,1,19,5.59,1.6,2.96,3.01,1.12,22.49
US-Slt,-74.596,39.9138,2001,1,20,1.4,-1.37,-0.16,7.11,1.85,19.39
US-Slt,-74.596,39.9138,2001,1,21,-0.47,-7.81,-5.57,6.78,10.69,2.64
