site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-UMB,-84.7138,45.5598,2001,1,1,-7.92,-13.19,-11.64,3.94,5.96,0.26
US-UMB,-84.7138,45.5598,2001,1,2,-2.47,-7.53,-6.53,8.42,5.61,0.14
US-UMB,-84.7138,45.5598,2001,1,3,-3.2,-6.07,-6.26,8.63,3.11,2.29
US-UMB,-84.7138,45.5598,2001,1,4,-0.09,-6.21,-4.67,8.02,1.82,2.22
US-UMB,-84.7138,45.5598,2001,1,5,0.87,-7.36,-3.41,9.41,3.62,2.34
US-UMB,-84.7138,45.5598,2001,1,6,-4,-8.69,-7.65,4.28,3.42,1.63
US-UMB,-84.7138,45.5598,2001,1,7,-3.9,-12.19,-7.62,5.74,2.84,1.41
US-UMB,-84.7138,45.5598,2001,1,8,-11.35,-14.85,-13.56,4.05,5.94,0.02
US-UMB,-84.7138,45.5598,2001,1,9,-2.26,-10.97,-6.59,8.52,5.84,0.19
US-UMB,-84.7138,45.5598,2001,1,10,1.18,-2.37,-1.65,9.02,7.04,0.11
US-UMB,-84.7138,45.5598,2001,1,11,0.48,-2.72,-1.97,2.32,4.37,0.14
US-UMB,-84.7138,45.5598,2001,1,12,0.35,-3.45,-2.13,3.19,2.38,0.41
US-UMB,-84.7138,45.5598,2001,1,13,1.1,-1.39,-0.21,3.37,2.5,0.62
US-UMB,-84.7138,45.5598,2001,1,14,0.31,-1.7,-1.06,6.73,2.03,2.27
US-UMB,-84.7138,45.5598,2001,1,15,0.47,-0.59,-0.35,4.61,3.36,3.39
US-UMB,-84.7138,45.5598,2001,1,16,-0.5,-7.64,-6.54,4.55,3.46,0.9
US-UMB,-84.7138,45.5598,2001,1,17,-3.39,-9.11,-8.18,4.18,4.77,0.56
US-UMB,-84.7138,45.5598,2001,1,18,-1.09,-4.24,-4.69,7.82,2.4,3.6
US-UMB,-84.7138,45.5598,2001,1,19,-4.64,-10.82,-10.89,5.3,6.11,0.03
US-UMB,-84.7138,45.5598,2001,1,20,-3.21,-10,-9.19,6.39,8.09,0.07
US-UMB,-84.7138,45.5598,2001,1,21,-3.22,-6.47,-7.14,4.97,3.26,0.11
US-UMB,-84.7138,45.5598,2001,1,22,-0.12,-5.83,-4.65,7.77,4.57,0.01
US-UMB,-84.7138,45.5598,2001,1,23,0.4,-2.46,-2.82,6.53,3.23,0.07
US-UMB,-84.7138,45.5598,2001,1,24,-1.99,-7,-6.13,6.2,5.9,0.44
US-UMB,-84.7138,45.5598,2001,1,25,-1.38,-7.29,-7.04,7.2,7.89,0.02
US-UMB,-84.7138,45.5598,2001,1,26,-1.65,-4.26,-5.03,6.41,4.78,2.88
US-UMB,-84.7138,45.5598,2001,1,27,-3.54,-9.96,-8.06,7.25,7.23,0.21
US-UMB,-84.7138,45.5598,2001,1,28,-1.12,-5.42,-6.14,5.05,3.26,0.26
US-UMB,-84.7138,45.5598,2001,1,29,0.37,-5.27,-3.08,5.76,5.33,3.03
US-UMB,-84.7138,45.5598,2001,1,30,1.03,-2.07,-0.33,4.41,1.99,12.76
US-UMB,-84.7138,45.5598,2001,1,31,-2.36,-5.06,-5.18,3.63,4.13,1.51
US-UMB,-84.7138,45.5598,2001,2,1,-1.39,-8.3,-7,6.8,6.97,0.93
US-UMB,-84.7138,45.5598,2001,2,2,-7.62,-10.43,-10.66,6.63,6.72,0.9
US-UMB,-84.7138,45.5598,2001,2,3,-5.44,-10.41,-9.31,5.98,6.44,0.31
US-UMB,-84.7138,45.5598,2001,2,4,-1.35,-7.7,-6.02,2.94,3.04,1.42
US-UMB,-84.7138,45.5598,2001,2,5,-1.46,-4.44,-4.7,3.34,5.02,0.46
US-UMB,-84.7138,45.5598,2001,2,6,-1.17,-3.31,-4.21,4.7,3.63,0.54
US-UMB,-84.7138,45.5598,2001,2,7,-1.38,-6,-6.39,3.77,7.59,1.51
US-UMB,-84.7138,45.5598,2001,2,8,-0.21,-4.94,-2.87,7.05,3.47,6.32
US-UMB,-84.7138,45.5598,2001,2,9,0.67,-8,-3.28,6.99,2.94,17.89
US-UMB,-84.7138,45.5598,2001,2,10,-7.58,-9.77,-10.72,8.36,6.22,0.67
US-UMB,-84.7138,45.5598,2001,2,11,-7.24,-11.16,-11.68,3.29,9,0.05
US-UMB,-84.7138,45.5598,2001,2,12,-2.64,-9.4,-7.52,4.9,6.75,0.2
US-UMB,-84.7138,45.5598,2001,2,13,-0.05,-4.72,-3.94,4.29,3.78,0.32
US-UMB,-84.7138,45.5598,2001,2,14,-0.91,-11.24,-5.87,6.5,6.04,0.43
US-UMB,-84.7138,45.5598,2001,2,15,-6.17,-14.83,-11.97,3.22,10.27,0.01
US-UMB,-84.7138,45.5598,2001,2,16,-2.88,-9.33,-8.47,8.14,5.89,1.21
US-UMB,-84.7138,45.5598,2001,2,17,-7.88,-9.41,-10.8,7.89,7.88,0.31
US-UMB,-84.7138,45.5598,2001,2,18,-3.62,-9.3,-9.3,10.21,11.23,0.48
US-UMB,-84.7138,45.5598,2001,2,19,-1.33,-5.25,-4.89,7.84,3.3,9.89
US-UMB,-84.7138,45.5598,2001,2,20,-4.2,-10.25,-9.87,8.82,12.74,0.39
US-UMB,-84.7138,45.5598,2001,2,21,-9.97,-12.4,-13.39,7.07,10.14,0.3
US-UMB,-84.7138,45.5598,2001,2,22,-4.41,-14.74,-10.65,7.46,6.64,1.8
US-UMB,-84.7138,45.5598,2001,2,23,-4.92,-9.12,-9.89,6.11,8.78,0.19
US-UMB,-84.7138,45.5598,2001,2,24,-1.51,-10.92,-6.9,8.45,5.17,4.36
US-UMB,-84.7138,45.5598,2001,2,25,2.45,-4.87,-1.64,12.45,3.93,15.62
US-UMB,-84.7138,45.5598,2001,2,26,-2.26,-6.22,-6.57,6.23,7.85,1.42
US-UMB,-84.7138,45.5598,2001,2,27,-6.32,-10.45,-10.98,6.44,11.65,0.13
US-UMB,-84.7138,45.5598,2001,2,28,-5.97,-11.74,-10.74,6.51,11.21,0.2
US-UMB,-84.7138,45.5598,2001,3,1,-3.06,-8.41,-7.29,3.05,5.88,0.13
US-UMB,-84.7138,45.5598,2001,3,2,-1.17,-3.86,-3.53,3.54,9.51,0.16
US-UMB,-84.7138,45.5598,2001,3,3,1.42,-6.59,-3.17,3.12,8.19,0.65
US-UMB,-84.7138,45.5598,2001,3,4,-4.03,-8.6,-8.06,5.66,10.01,0.25
US-UMB,-84.7138,45.5598,2001,3,5,-5.76,-8.77,-8.41,7.89,8.16,2.52
US-UMB,-84.7138,45.5598,2001,3,6,-2.63,-9.44,-6.86,6.31,8.54,0.03
US-UMB,-84.7138,45.5598,2001,3,7,-0.13,-6.39,-5.1,3.78,8.45,0.12
US-UMB,-84.7138,45.5598,2001,3,8,-0.35,-4,-3.86,3.8,10.08,0.69
US-UMB,-84.7138,45.5598,2001,3,9,-1.89,-7.31,-6.42,4.34,6.53,0.16
US-UMB,-84.7138,45.5598,2001,3,10,0.78,-7.65,-3.98,5.85,11.73,2.89
US-UMB,-84.7138,45.5598,2001,3,11,-1.05,-12.48,-9.87,6.2,15.04,0.06
US-UMB,-84.7138,45.5598,2001,3,12,-0.42,-12.4,-6.39,7.57,3.03,5.06
US-UMB,-84.7138,45.5598,2001,3,13,0.79,-1.79,-1,7.86,5.15,1.58
US-UMB,-84.7138,45.5598,2001,3,14,1.09,-0.92,-0.85,6.81,12.07,0.14
US-UMB,-84.7138,45.5598,2001,3,15,0.12,-6.21,-3.71,3.8,12.17,0.05
US-UMB,-84.7138,45.5598,2001,3,16,-3.5,-6.91,-7.14,6.03,15.15,0
US-UMB,-84.7138,45.5598,2001,3,17,-1.21,-7.34,-7.77,3.8,16.18,0.01
US-UMB,-84.7138,45.5598,2001,3,18,0.63,-6.88,-4.2,3.47,17.06,0.02
US-UMB,-84.7138,45.5598,2001,3,19,1.4,-5.86,-4.25,3,15.75,0.09
US-UMB,-84.7138,45.5598,2001,3,20,4.8,-3.24,-3.58,2.74,18.38,0
US-UMB,-84.7138,45.5598,2001,3,21,3.87,-3.26,-2.1,2.41,12.67,0
US-UMB,-84.7138,45.5598,2001,3,22,4.15,-2.76,-1.49,2.21,16.63,0.01
US-UMB,-84.7138,45.5598,2001,3,23,3.43,-3.02,-2.29,4.85,17.07,0.81
US-UMB,-84.7138,45.5598,2001,3,24,-3.2,-6.89,-9.2,9.01,13.03,0.54
US-UMB,-84.7138,45.5598,2001,3,25,-6.69,-8.13,-11.25,6.29,11.71,1.06
US-UMB,-84.7138,45.5598,2001,3,26,-3.05,-7.17,-7.69,4.65,12.02,0.58
US-UMB,-84.7138,45.5598,2001,3,27,-0.79,-5.55,-5.61,4.34,8.38,0.1
US-UMB,-84.7138,45.5598,2001,3,28,4.08,-3.8,-2.51,4.75,14.41,0
US-UMB,-84.7138,45.5598,2001,3,29,4.55,-0.97,-1.01,3.06,11.57,0.11
US-UMB,-84.7138,45.5598,2001,3,30,3.88,-1.22,-1.35,3.97,13.83,0.01
US-UMB,-84.7138,45.5598,2001,3,31,5.42,-0.94,-1.07,2.31,11.58,0.03
US-UMB,-84.7138,45.5598,2001,4,1,6.27,-1.05,-0.36,3.63,12.57,0.58
US-UMB,-84.7138,45.5598,2001,4,2,3.47,-0.19,0.25,2.43,9.49,1.04
US-UMB,-84.7138,45.5598,2001,4,3,7.28,-1.02,0.06,3.28,16.35,0.02
US-UMB,-84.7138,45.5598,2001,4,4,7.57,-1.34,-0.95,1.83,19.74,0.02
US-UMB,-84.7138,45.5598,2001,4,5,6.55,1.51,0.16,4.34,10.73,6.36
US-UMB,-84.7138,45.5598,2001,4,6,4.09,1.88,2.04,3.46,8.83,3.65
US-UMB,-84.7138,45.5598,2001,4,7,14.99,1.61,5.2,9.4,6.1,5.72
US-UMB,-84.7138,45.5598,2001,4,8,6.51,-0.12,1.68,8.27,11.05,0.15
