site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-Wi3,-91.0987,46.6347,2001,1,1,-10.73,-17.48,-15.14,3.11,6.51,0.02
US-Wi3,-91.0987,46.6347,2001,1,2,-9.38,-18.71,-13.77,6.14,6.45,0.66
US-Wi3,-91.0987,46.6347,2001,1,3,-9.07,-14.93,-12.25,3.41,3.26,0.11
US-Wi3,-91.0987,46.6347,2001,1,4,0.36,-13.08,-6.46,6.23,2.44,0.36
US-Wi3,-91.0987,46.6347,2001,1,5,-1.75,-10.36,-6.96,5.47,5.85,0.09
US-Wi3,-91.0987,46.6347,2001,1,6,-2.57,-9.48,-7.8,4.85,1.95,1.69
US-Wi3,-91.0987,46.6347,2001,1,7,-7.5,-12.66,-10.99,2.77,4.25,0.35
US-Wi3,-91.0987,46.6347,2001,1,8,-5.23,-14.51,-10.56,1.96,4.75,0.49
US-Wi3,-91.0987,46.6347,2001,1,9,-5.9,-14.58,-10.48,5.79,7.01,0.01
US-Wi3,-91.0987,46.6347,2001,1,10,-0.69,-7.49,-5.28,4.42,6.84,0
US-Wi3,-91.0987,46.6347,2001,1,11,0.25,-6.99,-3.04,1.83,5.07,1.08
US-Wi3,-91.0987,46.6347,2001,1,12,0.31,-5.27,-1.3,2.84,2.8,0.46
US-Wi3,-91.0987,46.6347,2001,1,13,-1.29,-8.66,-5.29,2.5,1.9,0.14
US-Wi3,-91.0987,46.6347,2001,1,14,0.09,-1.3,-0.7,4.24,1.87,7.26
US-Wi3,-91.0987,46.6347,2001,1,15,-0.57,-7.35,-3.67,3.33,3.7,2.61
US-Wi3,-91.0987,46.6347,2001,1,16,-7.48,-13.45,-10.75,2.26,3.43,0.59
US-Wi3,-91.0987,46.6347,2001,1,17,-8.33,-16.73,-13.39,5.5,5.34,0.35
US-Wi3,-91.0987,46.6347,2001,1,18,-3.27,-12.41,-8.85,4.43,3.5,1.38
US-Wi3,-91.0987,46.6347,2001,1,19,-12.84,-20.97,-16.97,3.4,5,0.02
US-Wi3,-91.0987,46.6347,2001,1,20,-12.07,-21.49,-17.44,4.75,8.14,0.06
US-Wi3,-91.0987,46.6347,2001,1,21,-8.12,-17.7,-13.67,3,5.77,0.04
US-Wi3,-91.0987,46.6347,2001,1,22,-2.93,-15.79,-9.75,6.03,3.82,0.57
US-Wi3,-91.0987,46.6347,2001,1,23,-3.88,-10.76,-7.51,4.55,7.91,0.17
