site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xBL,-78.0716,39.0603,2001,1,1,1.18,-8.46,-8.19,2.56,5.7,0
US-xBL,-78.0716,39.0603,2001,1,2,-2.32,-8.76,-9.83,3.3,7.31,0.02
US-xBL,-78.0716,39.0603,2001,1,3,1.25,-11.29,-10.7,2.27,8.97,0.01
US-xBL,-78.0716,39.0603,2001,1,4,1.04,-8.95,-8.18,2.26,5.25,0.02
US-xBL,-78.0716,39.0603,2001,1,5,2.97,-9.16,-5.41,2.42,2.04,1.86
US-xBL,-78.0716,39.0603,2001,1,6,3.66,-4.62,-4.18,2.75,4.5,0.01
US-xBL,-78.0716,39.0603,2001,1,7,6.72,-5.59,-2.13,1.98,8.57,0.01
US-xBL,-78.0716,39.0603,2001,1,8,1.29,-3.14,-0.74,2.07,3.1,3.45
US-xBL,-78.0716,39.0603,2001,1,9,-1.64,-6.33,-9.77,4.4,7.83,0
US-xBL,-78.0716,39.0603,2001,1,10,5.16,-5.71,-7.18,3.7,10.54,0
US-xBL,-78.0716,39.0603,2001,1,11,9.9,-5.4,-4.44,2.52,9.98,0
US-xBL,-78.0716,39.0603,2001,1,12,4.57,-0.92,-2.46,1.42,7.79,0
US-xBL,-78.0716,39.0603,2001,1,13,7.32,-2.54,-4.13,1.46,10.36,0
US-xBL,-78.0716,39.0603,2001,1,14,6.99,-2.63,-1.68,1.58,5.03,0.16
US-xBL,-78.0716,39.0603,2001,1,15,9.6,-1.09,2.37,1.66,5.19,0.01
US-xBL,-78.0716,39.0603,2001,1,16,6.07,-3.47,-2.17,2.7,3.97,0
US-xBL,-78.0716,39.0603,2001,1,17,6.24,-3.59,-3.29,1.62,4.75,0.02
US-xBL,-78.0716,39.0603,2001,1,18,1.78,-1.96,-1.44,1.58,3.57,2.61
US-xBL,-78.0716,39.0603,2001,1,19,2.84,-0.39,0.34,1.68,2.13,17.27
US-xBL,-78.0716,39.0603,2001,1,20,0.44,-2.58,-1.2,2.48,1.72,13.46
US-xBL,-78.0716,39.0603,2001,1,21,-2.64,-13.04,-8.42,3.74,11.35,0.4
US-xBL,-78.0716,39.0603,2001,1,22,-0.33,-12.92,-9.3,1.74,10.34,0.01
US-xBL,-78.0716,39.0603,2001,1,23,2.78,-9.73,-6.17,1.56,11.47,0
US-xBL,-78.0716,39.0603,2001,1,24,5.43,-5.88,-3.7,2.2,8.89,0.05
US-xBL,-78.0716,39.0603,2001,1,25,0.18,-8.48,-7.3,3.81,7.92,0.05
US-xBL,-78.0716,39.0603,2001,1,26,2.42,-10.72,-7.5,2.2,10.38,0.15
US-xBL,-78.0716,39.0603,2001,1,27,2.66,-4.24,-4.17,3.97,6.79,0.06
US-xBL,-78.0716,39.0603,2001,1,28,4.06,-9.44,-7.25,2.36,11.19,0
US-xBL,-78.0716,39.0603,2001,1,29,6.24,-6.71,-4.11,1.86,8.27,0.11
US-xBL,-78.0716,39.0603,2001,1,30,11.43,-0.86,2.13,2.76,8.17,16.51
US-xBL,-78.0716,39.0603,2001,1,31,8.48,-3.04,0.03,3.12,5.23,0.06
US-xBL,-78.0716,39.0603,2001,2,1,7.43,-2.7,-2.28,2.28,5.47,0.01
US-xBL,-78.0716,39.0603,2001,2,2,8.39,-5.59,-5.15,3.02,7.36,0.08
