site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xGR,-83.5019,35.689,2001,1,1,-3.49,-9.47,-9.25,1.4,6.47,0.2
US-xGR,-83.5019,35.689,2001,1,2,-2.02,-9.96,-10,2.33,10.32,0.09
US-xGR,-83.5019,35.689,2001,1,3,1.51,-12.59,-11.07,1.53,12.87,0.01
US-xGR,-83.5019,35.689,2001,1,4,3.48,-9.04,-7.11,1.73,11.44,0.03
US-xGR,-83.5019,35.689,2001,1,5,5.45,-4.89,-2.7,3.15,11.54,0.09
US-xGR,-83.5019,35.689,2001,1,6,6.41,-5.49,-4.26,1.98,12.52,0.05
US-xGR,-83.5019,35.689,2001,1,7,6.16,-0.88,-0.91,1.91,6.33,1.66
US-xGR,-83.5019,35.689,2001,1,8,2.41,-5.19,-2.24,2.26,4.07,6.43
US-xGR,-83.5019,35.689,2001,1,9,-3.05,-9.2,-9.52,2.94,9.72,0.02
US-xGR,-83.5019,35.689,2001,1,10,6.87,-8.92,-7.22,1.42,12.99,0
US-xGR,-83.5019,35.689,2001,1,11,5.2,-2.3,-3.53,1.75,3.32,7.53
US-xGR,-83.5019,35.689,2001,1,12,2.88,-1.48,-0.28,1.49,3.42,1.56
US-xGR,-83.5019,35.689,2001,1,13,10.14,-2.71,-0.97,1.81,10.2,0
US-xGR,-83.5019,35.689,2001,1,14,7.78,-0.34,3.5,2.73,4.93,0.37
US-xGR,-83.5019,35.689,2001,1,15,12.17,-1.27,3.94,2.46,10.86,0.24
US-xGR,-83.5019,35.689,2001,1,16,4.2,-1.4,-2.63,1.55,6.27,0
US-xGR,-83.5019,35.689,2001,1,17,6.74,-1.19,0.92,1.19,6.69,4.15
US-xGR,-83.5019,35.689,2001,1,18,8.66,3.31,6.11,2.72,2.32,38.46
US-xGR,-83.5019,35.689,2001,1,19,10.41,-0.79,6.24,2.59,2.04,30.16
US-xGR,-83.5019,35.689,2001,1,20,-1.14,-7.61,-5.44,3.32,3.86,1.12
US-xGR,-83.5019,35.689,2001,1,21,2.11,-10.04,-8.86,1.88,13.15,0.41
