site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xSC,-78.1395,38.8929,2001,1,1,1.18,-8.46,-8.19,2.56,8.48,0
US-xSC,-78.1395,38.8929,2001,1,2,-2.32,-8.76,-9.83,3.3,10.1,0.02
US-xSC,-78.1395,38.8929,2001,1,3,1.25,-11.29,-10.7,2.27,10.54,0.01
US-xSC,-78.1395,38.8929,2001,1,4,1.04,-8.95,-8.18,2.26,6.44,0.02
US-xSC,-78.1395,38.8929,2001,1,5,2.97,-9.16,-5.41,2.42,4.52,1.86
US-xSC,-78.1395,38.8929,2001,1,6,3.66,-4.62,-4.18,2.75,6.76,0.01
US-xSC,-78.1395,38.8929,2001,1,7,6.72,-5.59,-2.13,1.98,6.05,0.01
US-xSC,-78.1395,38.8929,2001,1,8,1.29,-3.14,-0.74,2.07,2.84,3.45
US-xSC,-78.1395,38.8929,2001,1,9,-1.64,-6.33,-9.77,4.4,9.9,0
US-xSC,-78.1395,38.8929,2001,1,10,5.16,-5.71,-7.18,3.7,11.11,0
US-xSC,-78.1395,38.8929,2001,1,11,9.9,-5.4,-4.44,2.52,10.79,0
US-xSC,-78.1395,38.8929,2001,1,12,4.57,-0.92,-2.46,1.42,8.43,0
US-xSC,-78.1395,38.8929,2001,1,13,7.32,-2.54,-4.13,1.46,11.03,0
US-xSC,-78.1395,38.8929,2001,1,14,6.99,-2.63,-1.68,1.58,5.62,0.16
US-xSC,-78.1395,38.8929,2001,1,15,9.6,-1.09,2.37,1.66,7.94,0.01
US-xSC,-78.1395,38.8929,2001,1,16,6.07,-3.47,-2.17,2.7,7.67,0
US-xSC,-78.1395,38.8929,2001,1,17,6.24,-3.59,-3.29,1.62,6.74,0.02
US-xSC,-78.1395,38.8929,2001,1,18,1.78,-1.96,-1.44,1.58,2.76,2.61
US-xSC,-78.1395,38.8929,2001,1,19,2.84,-0.39,0.34,1.68,2.46,17.27
US-xSC,-78.1395,38.8929,2001,1,20,0.44,-2.58,-1.2,2.48,2.27,13.46
US-xSC,-78.1395,38.8929,2001,1,21,-2.64,-13.04,-8.42,3.74,12.37,0.4
US-xSC,-78.1395,38.8929,2001,1,22,-0.33,-12.92,-9.3,1.74,9.48,0.01
US-xSC,-78.1395,38.8929,2001,1,23,2.78,-9.73,-6.17,1.56,12.18,0
US-xSC,-78.1395,38.8929,2001,1,24,5.43,-5.88,-3.7,2.2,8.84,0.05
US-xSC,-78.1395,38.8929,2001,1,25,0.18,-8.48,-7.3,3.81,8.41,0.05
US-xSC,-78.1395,38.8929,2001,1,26,2.42,-10.72,-7.5,2.2,10.42,0.15
US-xSC,-78.1395,38.8929,2001,1,27,2.66,-4.24,-4.17,3.97,9.17,0.06
US-xSC,-78.1395,38.8929,2001,1,28,4.06,-9.44,-7.25,2.36,12.64,0
US-xSC,-78.1395,38.8929,2001,1,29,6.24,-6.71,-4.11,1.86,8.73,0.11
US-xSC,-78.1395,38.8929,2001,1,30,11.43,-0.86,2.13,2.76,8.89,16.51
US-xSC,-78.1395,38.8929,2001,1,31,8.48,-3.04,0.03,3.12,8.23,0.06
US-xSC,-78.1395,38.8929,2001,2,1,7.43,-2.7,-2.28,2.28,8.26,0.01
US-xSC,-78.1395,38.8929,2001,2,2,8.39,-5.59,-5.15,3.02,9.46,0.08
US-xSC,-78.1395,38.8929,2001,2,3,2.48,-5.81,-10.11,2.53,14,0.02
US-xSC,-78.1395,38.8929,2001,2,4,5.46,-5.51,-5.37,2.4,9.72,0
US-xSC,-78.1395,38.8929,2001,2,5,6.75,-2.3,-1.4,2,9.87,2.08
US-xSC,-78.1395,38.8929,2001,2,6,8.01,-2.58,-1.53,2.45,13.05,0.04
US-xSC,-78.1395,38.8929,2001,2,7,10.21,-3.2,-2.41,1.95,13.64,0
US-xSC,-78.1395,38.8929,2001,2,8,10.73,-3.17,0.57,2.32,11.85,0
US-xSC,-78.1395,38.8929,2001,2,9,14.61,0.56,5.16,3.28,10.4,0
US-xSC,-78.1395,38.8929,2001,2,10,11.96,-3.96,-2.83,5.15,15.57,0.37
US-xSC,-78.1395,38.8929,2001,2,11,3.57,-5.23,-8.56,2.25,15.44,0.03
US-xSC,-78.1395,38.8929,2001,2,12,5.58,-3.31,-4.65,2.64,4.93,0.45
US-xSC,-78.1395,38.8929,2001,2,13,12.07,-0.97,2.05,1.64,9.92,0.05
US-xSC,-78.1395,38.8929,2001,2,14,9.95,1.53,5.62,2.64,7.71,2.28
US-xSC,-78.1395,38.8929,2001,2,15,10.54,2.71,6.31,1.86,3.7,1.94
US-xSC,-78.1395,38.8929,2001,2,16,8.72,1.71,4.2,1.78,3.41,10.56
US-xSC,-78.1395,38.8929,2001,2,17,1.37,-5.29,-7.79,4.95,15.39,1.38
US-xSC,-78.1395,38.8929,2001,2,18,1.57,-6.5,-10.61,2.67,17.36,0
US-xSC,-78.1395,38.8929,2001,2,19,8.01,-6.3,-4.92,2.84,13.93,0
US-xSC,-78.1395,38.8929,2001,2,20,14.58,-1.49,3.02,2.56,11.91,0.02
