site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xSE,-76.56,38.8901,2001,1,1,1.21,-5.91,-5.82,4.54,8.42,0
US-xSE,-76.56,38.8901,2001,1,2,-1.86,-6.26,-7.22,5.88,9.29,0.01
US-xSE,-76.56,38.8901,2001,1,3,0.26,-8.39,-8.25,3.93,10.49,0
US-xSE,-76.56,38.8901,2001,1,4,1.84,-7.31,-6.14,4.08,8.11,0.62
US-xSE,-76.56,38.8901,2001,1,5,0.28,-6.52,-3.96,4.14,2.13,2.04
US-xSE,-76.56,38.8901,2001,1,6,3.33,-4.47,-3.38,5.11,7.17,0
US-xSE,-76.56,38.8901,2001,1,7,5.83,-4.29,-1.06,2.94,5.99,0.02
US-xSE,-76.56,38.8901,2001,1,8,1.39,0.05,0.26,2.71,2.83,5.03
US-xSE,-76.56,38.8901,2001,1,9,0.84,-3.82,-6.35,8.33,10.7,0.1
US-xSE,-76.56,38.8901,2001,1,10,3.38,-4.04,-5.38,6.01,10.73,0.02
US-xSE,-76.56,38.8901,2001,1,11,8.33,-2.97,-2.55,4.64,10.63,0.01
US-xSE,-76.56,38.8901,2001,1,12,3.6,-1.08,-1.25,3.13,6.92,0.15
US-xSE,-76.56,38.8901,2001,1,13,5.78,-2.32,-1.89,2.1,10.85,0
US-xSE,-76.56,38.8901,2001,1,14,3.86,-1.99,-0.08,2.31,6.2,2.69
US-xSE,-76.56,38.8901,2001,1,15,5.43,0.9,2.44,1.32,4.42,0.89
US-xSE,-76.56,38.8901,2001,1,16,6.94,-1.28,-0.61,4.87,8.76,1.02
US-xSE,-76.56,38.8901,2001,1,17,5.68,-1.89,-2.04,3.37,7.55,0.02
US-xSE,-76.56,38.8901,2001,1,18,2.99,-0.58,-0.18,2.36,2.56,5.16
US-xSE,-76.56,38.8901,2001,1,19,4.94,1.21,2.19,2.38,2.27,25.03
US-xSE,-76.56,38.8901,2001,1,20,1.72,-0.4,0.15,6.12,1.99,18.34
US-xSE,-76.56,38.8901,2001,1,21,-0.09,-6.03,-6.05,7.56,11.21,0.57
US-xSE,-76.56,38.8901,2001,1,22,0.84,-7.09,-6.61,2.83,11.07,0.52
US-xSE,-76.56,38.8901,2001,1,23,2.36,-5.06,-4.26,2.52,11,0
US-xSE,-76.56,38.8901,2001,1,24,5.27,-2.87,-2.21,3.27,10.07,0
US-xSE,-76.56,38.8901,2001,1,25,2.71,-3.47,-4.05,6.76,11.83,0
US-xSE,-76.56,38.8901,2001,1,26,2.17,-6.82,-5.95,3.87,11.28,0
US-xSE,-76.56,38.8901,2001,1,27,5.31,-0.84,-2.26,7.16,7.74,0.09
US-xSE,-76.56,38.8901,2001,1,28,3.91,-2.62,-5.1,4.9,11.51,0
US-xSE,-76.56,38.8901,2001,1,29,5.07,-3.75,-3.24,2.88,8.25,0
US-xSE,-76.56,38.8901,2001,1,30,11.85,0.84,6.32,5.69,6.46,12.74
US-xSE,-76.56,38.8901,2001,1,31,10.96,-0.28,2.18,5.32,8.79,1.56
