site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xST,-89.5864,45.5089,2001,1,1,-7.82,-17.78,-14.11,2.96,6.45,0.03
US-xST,-89.5864,45.5089,2001,1,2,-10.51,-17.83,-15.17,6.1,7.02,0.19
US-xST,-89.5864,45.5089,2001,1,3,-8.65,-16.21,-13.01,5.21,3.16,0.25
US-xST,-89.5864,45.5089,2001,1,4,-0.6,-15.41,-9.34,6.16,3.63,0.36
US-xST,-89.5864,45.5089,2001,1,5,-1.23,-10.57,-5.76,7.46,4.64,0.1
US-xST,-89.5864,45.5089,2001,1,6,-4.49,-11.12,-8.78,4.33,2.36,1.47
US-xST,-89.5864,45.5089,2001,1,7,-5.2,-12.69,-9.13,4.78,4.57,0.12
US-xST,-89.5864,45.5089,2001,1,8,-8.35,-17.6,-13.29,2.86,6.69,0.27
US-xST,-89.5864,45.5089,2001,1,9,-7.41,-16.5,-11.89,6.21,7.8,0.02
US-xST,-89.5864,45.5089,2001,1,10,-0.49,-9.03,-6.09,5.6,7.82,0.01
US-xST,-89.5864,45.5089,2001,1,11,0.06,-6.72,-3.42,2.39,5.96,0.16
US-xST,-89.5864,45.5089,2001,1,12,0.11,-2.13,-1.46,2.27,4.1,0.16
US-xST,-89.5864,45.5089,2001,1,13,0.01,-4.69,-3,2.58,2.28,0.2
US-xST,-89.5864,45.5089,2001,1,14,-0.3,-3.64,-2.21,5.38,1.91,5.15
US-xST,-89.5864,45.5089,2001,1,15,-0.05,-7.18,-4.37,3.2,3.18,0.85
US-xST,-89.5864,45.5089,2001,1,16,-5.58,-12.03,-9.41,3.33,3.29,0.22
US-xST,-89.5864,45.5089,2001,1,17,-9.91,-15.11,-13.45,4.47,6.13,0.08
US-xST,-89.5864,45.5089,2001,1,18,-5.06,-12.06,-9.85,4.78,5.25,0.31
US-xST,-89.5864,45.5089,2001,1,19,-11.1,-21.7,-16.15,3.73,7.32,0.01
US-xST,-89.5864,45.5089,2001,1,20,-11.48,-22.73,-19.19,4.32,9,0.03
US-xST,-89.5864,45.5089,2001,1,21,-4.71,-18.71,-13.45,3.34,6.98,0.03
US-xST,-89.5864,45.5089,2001,1,22,-6.38,-16.84,-12.02,5.49,7.91,0.22
US-xST,-89.5864,45.5089,2001,1,23,-3.72,-10.64,-8.37,5.08,6.8,0.22
US-xST,-89.5864,45.5089,2001,1,24,-6.82,-16.55,-11.23,5.12,6.94,0.27
US-xST,-89.5864,45.5089,2001,1,25,-8.05,-20.64,-15.4,5.38,9.6,0.02
US-xST,-89.5864,45.5089,2001,1,26,-6.64,-13.34,-11.29,5.72,6.33,2.09
US-xST,-89.5864,45.5089,2001,1,27,-9.64,-20.8,-14.44,5.34,9.22,0.03
US-xST,-89.5864,45.5089,2001,1,28,-4.9,-13.34,-11.15,3.14,8.58,0.09
US-xST,-89.5864,45.5089,2001,1,29,-0.95,-13.77,-7.58,4.34,7.59,5.87
US-xST,-89.5864,45.5089,2001,1,30,0.07,-2.02,-1.51,4.12,4.57,5.17
US-xST,-89.5864,45.5089,2001,1,31,-0.98,-10.59,-5.83,4.43,3.53,0.4
US-xST,-89.5864,45.5089,2001,2,1,-11.4,-17.36,-16.41,6.42,7.93,0.38
US-xST,-89.5864,45.5089,2001,2,2,-11.3,-19.1,-16.52,4.1,9.12,0.06
US-xST,-89.5864,45.5089,2001,2,3,-9.65,-21.04,-15.26,4.01,8.42,0.68
US-xST,-89.5864,45.5089,2001,2,4,-3.31,-12.79,-9.25,3.04,7.23,0.5
US-xST,-89.5864,45.5089,2001,2,5,-5.73,-12.71,-9.91,2.54,7.14,0.14
US-xST,-89.5864,45.5089,2001,2,6,-2.26,-10.87,-7.92,4.5,8.85,0.26
US-xST,-89.5864,45.5089,2001,2,7,-6.45,-15.67,-11.37,3.07,8.78,4.72
US-xST,-89.5864,45.5089,2001,2,8,-1.58,-8.76,-5.91,5.16,3.69,7.95
US-xST,-89.5864,45.5089,2001,2,9,-5.48,-14.06,-9.44,7.97,7.78,3.44
US-xST,-89.5864,45.5089,2001,2,10,-13.44,-24.96,-19.26,4.85,11.97,0.07
US-xST,-89.5864,45.5089,2001,2,11,-11.2,-25.39,-18.22,3.28,11.13,0.11
US-xST,-89.5864,45.5089,2001,2,12,-4.25,-11.48,-9.48,3.59,5.91,0.9
US-xST,-89.5864,45.5089,2001,2,13,-3.64,-12.56,-8.07,3.53,7.73,0.36
US-xST,-89.5864,45.5089,2001,2,14,-4.74,-20.18,-11.87,4.88,9.59,0.1
US-xST,-89.5864,45.5089,2001,2,15,-7.06,-21.99,-15.91,2.87,13.06,0.04
US-xST,-89.5864,45.5089,2001,2,16,-12.49,-18.64,-15.91,7.74,12.9,0.04
US-xST,-89.5864,45.5089,2001,2,17,-14.2,-21.61,-19.87,5.83,13.87,0.01
US-xST,-89.5864,45.5089,2001,2,18,-8.3,-23.95,-16.49,6.61,13.16,0.04
US-xST,-89.5864,45.5089,2001,2,19,-2.57,-16.2,-8.9,5.27,7.52,0.08
US-xST,-89.5864,45.5089,2001,2,20,-11.27,-21.12,-17.62,7.39,14.78,0.08
US-xST,-89.5864,45.5089,2001,2,21,-14.92,-27.03,-22.86,3.48,14.4,0.02
US-xST,-89.5864,45.5089,2001,2,22,-8.4,-25.88,-15.06,6.5,9.28,1.08
US-xST,-89.5864,45.5089,2001,2,23,-9.02,-20.43,-15.52,3.63,13.91,0.31
US-xST,-89.5864,45.5089,2001,2,24,-1.61,-12.41,-5.97,7.96,4.43,4.61
US-xST,-89.5864,45.5089,2001,2,25,0.59,-9.63,-3.68,8.56,7.91,5.49
US-xST,-89.5864,45.5089,2001,2,26,-6.26,-19.03,-12.86,4.75,7.91,0.13
US-xST,-89.5864,45.5089,2001,2,27,-13.22,-23.13,-20,4.9,16.22,0.02
US-xST,-89.5864,45.5089,2001,2,28,-10.46,-25.92,-17.64,5.05,12.19,0.1
US-xST,-89.5864,45.5089,2001,3,1,-0.4,-12.15,-6.76,3.96,12.85,0.05
US-xST,-89.5864,45.5089,2001,3,2,0.18,-6.23,-4.02,5.35,15.44,0.04
US-xST,-89.5864,45.5089,2001,3,3,-0.03,-11.14,-5.71,4.29,15.34,0.06
US-xST,-89.5864,45.5089,2001,3,4,-5.11,-15.61,-11.79,5.39,12.1,0.07
US-xST,-89.5864,45.5089,2001,3,5,-8.02,-16.13,-12.21,8.03,15.31,0.04
US-xST,-89.5864,45.5089,2001,3,6,-1.84,-12.84,-7.93,5.57,16.85,0.08
US-xST,-89.5864,45.5089,2001,3,7,-2.15,-12.17,-7.47,5.1,10.77,0.42
US-xST,-89.5864,45.5089,2001,3,8,-2.53,-10.18,-7.22,5.68,12.36,0.5
US-xST,-89.5864,45.5089,2001,3,9,-1.13,-12.59,-8.81,3.32,17.6,0.03
US-xST,-89.5864,45.5089,2001,3,10,-1.24,-10.89,-7.22,4.89,5.99,0.86
