site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
US-xUK,-95.1921,39.0404,2001,1,1,-7.45,-18.05,-14.49,3.15,9.58,0.01
US-xUK,-95.1921,39.0404,2001,1,2,-5.17,-13.2,-11.79,3.11,9.61,0
US-xUK,-95.1921,39.0404,2001,1,3,3.04,-9.22,-5.49,5.01,9.71,0
US-xUK,-95.1921,39.0404,2001,1,4,7.35,-6.02,-1.69,4.53,9.09,0.01
US-xUK,-95.1921,39.0404,2001,1,5,7.58,-1.28,-2.9,4.97,9.82,0.02
US-xUK,-95.1921,39.0404,2001,1,6,8.89,-0.99,-0.29,4.1,10.05,0.01
US-xUK,-95.1921,39.0404,2001,1,7,6.11,-3.38,-0.86,4.62,9.43,0.03
US-xUK,-95.1921,39.0404,2001,1,8,3.19,-3.68,-4.79,3.3,9.6,0.01
US-xUK,-95.1921,39.0404,2001,1,9,5.27,-4.9,-4.65,3.75,10.44,0
US-xUK,-95.1921,39.0404,2001,1,10,7.6,-2,-0.61,6.22,8.19,0.71
US-xUK,-95.1921,39.0404,2001,1,11,7.16,-1.06,0.85,4.37,3.96,0.42
US-xUK,-95.1921,39.0404,2001,1,12,8.82,-1.74,0.03,3.11,7.84,0.19
US-xUK,-95.1921,39.0404,2001,1,13,4.15,-1.59,0.6,6.46,5.86,6.58
US-xUK,-95.1921,39.0404,2001,1,14,4.68,-4.06,-1.54,5.98,4.63,0.19
US-xUK,-95.1921,39.0404,2001,1,15,3.86,-4.48,-4.97,4.84,10.15,0
US-xUK,-95.1921,39.0404,2001,1,16,-0.41,-4.54,-5.32,3.07,3.95,0.1
US-xUK,-95.1921,39.0404,2001,1,17,1.74,-3.99,-6.02,2.41,10.35,0
US-xUK,-95.1921,39.0404,2001,1,18,4.55,-6.68,-4.71,4.01,9,0.01
US-xUK,-95.1921,39.0404,2001,1,19,-1.58,-13.39,-12.08,6.66,10.66,0.01
US-xUK,-95.1921,39.0404,2001,1,20,-1.74,-15.67,-12.74,2.86,11.78,0
US-xUK,-95.1921,39.0404,2001,1,21,1.52,-7.42,-7.09,3.26,11.58,0
US-xUK,-95.1921,39.0404,2001,1,22,7.21,-8.59,-4.47,3.32,11.65,0
US-xUK,-95.1921,39.0404,2001,1,23,5.18,-1.3,-2,3.06,11.15,0.04
US-xUK,-95.1921,39.0404,2001,1,24,4.66,-7.1,-6.18,4.43,12.14,0.04
US-xUK,-95.1921,39.0404,2001,1,25,1.88,-11.74,-9.58,4.2,10.2,0.86
US-xUK,-95.1921,39.0404,2001,1,26,3.65,-5.43,-3.22,9.04,2.99,0.65
US-xUK,-95.1921,39.0404,2001,1,27,0.11,-10.14,-8.68,2.09,10.81,0.13
US-xUK,-95.1921,39.0404,2001,1,28,1.03,-3.18,-2.38,3.46,1.29,16.78
US-xUK,-95.1921,39.0404,2001,1,29,0.92,-2.82,-1.05,4.29,1.93,12.32
US-xUK,-95.1921,39.0404,2001,1,30,1.61,-2.63,-2.1,6.83,3.35,0.56
US-xUK,-95.1921,39.0404,2001,1,31,1.86,-5.93,-4.24,5.63,7.83,0.1
US-xUK,-95.1921,39.0404,2001,2,1,1.58,-18.04,-9.38,4.96,10.36,0
US-xUK,-95.1921,39.0404,2001,2,2,-4.49,-19.25,-14.34,3.87,8.97,0.71
US-xUK,-95.1921,39.0404,2001,2,3,3.6,-5.47,-2.26,4.72,6.84,0.41
US-xUK,-95.1921,39.0404,2001,2,4,2.83,-4.07,-2.97,6.1,6.51,0.02
US-xUK,-95.1921,39.0404,2001,2,5,10.18,-4.92,-1.63,5.37,12.37,0.03
US-xUK,-95.1921,39.0404,2001,2,6,7.27,-2.4,-2.23,4.54,13.61,0.21
US-xUK,-95.1921,39.0404,2001,2,7,11.56,-3.05,4.04,6.05,5.57,0.87
US-xUK,-95.1921,39.0404,2001,2,8,11.06,-1.88,3.5,4.46,0.98,23.12
US-xUK,-95.1921,39.0404,2001,2,9,-2.3,-20.14,-11.2,8.5,8.11,12.6
US-xUK,-95.1921,39.0404,2001,2,10,-4.14,-22.15,-15.74,3.31,13.97,0
US-xUK,-95.1921,39.0404,2001,2,11,1.65,-13.3,-7.2,5.41,9.71,0.22
US-xUK,-95.1921,39.0404,2001,2,12,3.42,-5.66,-0.72,2.99,6.18,0.38
US-xUK,-95.1921,39.0404,2001,2,13,7.04,0.71,2.86,2.14,4.83,0.78
US-xUK,-95.1921,39.0404,2001,2,14,2.28,-6.13,-3.86,5.51,2.1,1.51
US-xUK,-95.1921,39.0404,2001,2,15,-0.37,-6.34,-7.75,2.94,6.3,0
US-xUK,-95.1921,39.0404,2001,2,16,-4.02,-11.65,-10.46,7.51,12.85,0
US-xUK,-95.1921,39.0404,2001,2,17,-2.91,-13.95,-13.37,2.93,13.35,0
US-xUK,-95.1921,39.0404,2001,2,18,2.49,-10.16,-6.76,5.03,12.77,0.03
US-xUK,-95.1921,39.0404,2001,2,19,9.93,-1.01,0.71,4.54,14.8,0.02
US-xUK,-95.1921,39.0404,2001,2,20,5.91,-3.52,-3.29,5.84,12.32,0.11
US-xUK,-95.1921,39.0404,2001,2,21,-1.44,-6.26,-10.83,6.55,5.14,1.39
US-xUK,-95.1921,39.0404,2001,2,22,5.69,-6.77,-4.49,2.47,14.44,0.01
US-xUK,-95.1921,39.0404,2001,2,23,2.13,-1.48,-0.69,5.46,2.84,16.19
US-xUK,-95.1921,39.0404,2001,2,24,15.19,1.06,5.3,6.84,3.82,18.63
US-xUK,-95.1921,39.0404,2001,2,25,5.38,-4.19,-4.86,6.12,16.83,0.01
US-xUK,-95.1921,39.0404,2001,2,26,10.72,-2.89,-0.79,3.74,8.63,0.74
US-xUK,-95.1921,39.0404,2001,2,27,-0.59,-6.7,-5.33,8.56,2.95,7.25
US-xUK,-95.1921,39.0404,2001,2,28,0.26,-10.06,-9.44,3.41,5.75,0.05
US-xUK,-95.1921,39.0404,2001,3,1,5.15,-3.74,-2.82,3.34,4.2,0.22
US-xUK,-95.1921,39.0404,2001,3,2,6.7,-2.44,-1.58,2.78,9.35,0
US-xUK,-95.1921,39.0404,2001,3,3,8.34,-2.63,-1.38,3.12,10.25,0
US-xUK,-95.1921,39.0404,2001,3,4,8.94,-4.53,-3.19,4.95,14.58,0
US-xUK,-95.1921,39.0404,2001,3,5,5.66,-4.87,-5.13,3.82,16.53,0
US-xUK,-95.1921,39.0404,2001,3,6,3.7,-5.02,-6.24,1.87,13.19,0
US-xUK,-95.1921,39.0404,2001,3,7,8.85,-3.3,-2.95,2.82,6.09,0
US-xUK,-95.1921,39.0404,2001,3,8,8.82,-4.62,-4.1,4.43,18.76,0
US-xUK,-95.1921,39.0404,2001,3,9,8.02,-5.5,-4.27,2.66,19.14,0
US-xUK,-95.1921,39.0404,2001,3,10,15.84,-0.31,2.63,5.95,9.58,1.04
US-xUK,-95.1921,39.0404,2001,3,11,10.61,-0.54,3.27,5.98,5.28,5.7
US-xUK,-95.1921,39.0404,2001,3,12,10.3,-1.18,0.67,6.29,16.98,0.09
US-xUK,-95.1921,39.0404,2001,3,13,15.21,0.23,-0.11,6.62,20.55,0
US-xUK,-95.1921,39.0404,2001,3,14,19.94,1.34,5.98,5.18,11.06,18.31
US-xUK,-95.1921,39.0404,2001,3,15,9.17,0.3,3.22,9.01,2.07,26.41
US-xUK,-95.1921,39.0404,2001,3,16,6.66,-2.91,-2.19,7.15,15.32,1.12
US-xUK,-95.1921,39.0404,2001,3,17,9.16,-4.19,-3.14,3.05,21.64,0
US-xUK,-95.1921,39.0404,2001,3,18,9.24,-3.64,-2.77,2.57,16.07,0.16
US-xUK,-95.1921,39.0404,2001,3,19,11.97,-2.08,-0.55,1.98,15.49,0.01
US-xUK,-95.1921,39.0404,2001,3,20,14.39,-0.35,-0.69,1.91,21.46,0
US-xUK,-95.1921,39.0404,2001,3,21,15.37,0.49,2.37,3.24,9.08,0.33
US-xUK,-95.1921,39.0404,2001,3,22,16.97,5.35,6.22,4.49,20.02,1.42
US-xUK,-95.1921,39.0404,2001,3,23,17.85,1.7,4.61,4.5,11.37,0.37
US-xUK,-95.1921,39.0404,2001,3,24,5.13,-5.27,-8.02,6.55,22.7,0.09
US-xUK,-95.1921,39.0404,2001,3,25,5.18,-6,-7.98,4.87,19.95,0.01
US-xUK,-95.1921,39.0404,2001,3,26,5.8,-6.67,-8.07,2.5,24.21,0
