Province,Crop,Year,DOY,LAI,Yield
xxxxx,Maize,2020,120,0.1000,NaN
xxxxx,Maize,2020,128,0.5000,NaN
xxxxx,Maize,2020,136,0.7000,NaN
xxxxx,Maize,2020,144,1.0000,NaN
xxxxx,Maize,2020,152,1.5000,NaN
xxxxx,Maize,2020,160,2.0000,NaN
xxxxx,Maize,2020,168,2.3000,NaN
xxxxx,Maize,2020,176,2.7000,NaN
xxxxx,Maize,2020,184,3.5000,NaN
xxxxx,Maize,2020,192,6.0000,NaN
xxxxx,Maize,2020,200,6.0000,NaN
xxxxx,Maize,2020,208,6.0000,NaN
xxxxx,Maize,2020,216,5.6000,NaN
xxxxx,Maize,2020,224,4.5000,NaN
xxxxx,Maize,2020,232,3.2000,14.0000
xxxxx,Maize,2021,120,0.1000,NaN
xxxxx,Maize,2021,128,0.5000,NaN
xxxxx,Maize,2021,136,0.7000,NaN
xxxxx,Maize,2021,144,1.0000,NaN
xxxxx,Maize,2021,152,1.5000,NaN
xxxxx,Maize,2021,160,2.0000,NaN
xxxxx,Maize,2021,168,2.3000,NaN
xxxxx,Maize,2021,176,2.7000,NaN
xxxxx,Maize,2021,184,3.5000,NaN
xxxxx,Maize,2021,192,6.0000,NaN
xxxxx,Maize,2021,200,6.0000,NaN
xxxxx,Maize,2021,208,6.0000,NaN
xxxxx,Maize,2021,216,5.6000,NaN
xxxxx,Maize,2021,224,4.5000,NaN
xxxxx,Maize,2021,232,3.2000,12.0000
